Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP0,pass_1/3,PPA,CrsPA,Prog,Matches
144,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Fulham,eng Premier League,29,1988,5.3,30.0,39.4,76.1,468.5,136.8,0.94,2.45,38.5,24.9,30.6,81.5,4.15,6.42,64.7,0.00,0.06,-0.06,1.51,2.08,1.32,0.19,4.53,Matches
145,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,28,1989,37.8,65.4,76.5,85.4,1072.0,377.1,0.79,2.43,32.6,56.7,62.7,90.5,7.83,11.4,68.8,0.13,0.06,0.07,0.66,4.23,1.24,0.50,6.11,Matches
146,Abdoulaye Ba\Abdoulaye-Ba,sn SEN,DF,Rayo Vallecano,es La Liga,27,1991,23.4,36.6,44.3,82.5,839.3,292.8,0.21,0.56,38.5,23.5,25.7,91.4,12.9,18.0,71.3,0.00,0.00,0.00,0.04,1.20,0.00,0.00,1.28,Matches
147,Florian Baak\Florian-Baak,de GER,MF,Hertha BSC,de Bundesliga,19,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
148,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Rennes,fr Ligue 1,32,1986,1.4,50.0,64.3,77.8,817.9,428.6,0.71,2.14,33.3,42.9,48.6,88.2,6.43,13.6,47.4,0.00,0.00,0.00,0.00,2.14,0.71,0.71,6.43,Matches
149,Khouma Babacar\Khouma-Babacar,sn SEN,FW,Sassuolo,it Serie A,25,1993,16.5,15.0,18.4,81.8,210.4,21.2,0.61,1.39,43.5,12.8,14.9,86.2,1.58,2.06,76.5,0.12,0.07,0.05,0.67,0.24,0.55,0.12,0.85,Matches
150,Ryan Babel\Ryan-Babel,nl NED,FW,Fulham,eng Premier League,31,1986,13.9,29.5,37.1,79.6,463.3,121.4,1.01,2.45,41.2,24.7,28.1,88.2,3.74,6.55,57.1,0.22,0.14,0.08,1.65,1.94,0.72,0.22,3.02,Matches
151,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,31,1986,14.1,13.6,19.4,70.1,206.2,46.6,0.50,0.71,70.0,11.2,16.1,69.6,1.91,2.62,73.0,0.07,0.16,-0.09,1.63,0.50,0.43,0.00,1.28,Matches
152,Juninho Bacuna\Juninho-Bacuna,cw CUW,MFDF,Huddersfield,eng Premier League,20,1997,15.7,35.6,48.6,73.3,715.3,241.3,0.57,2.10,27.3,25.2,30.1,83.7,9.81,16.4,59.9,0.00,0.10,-0.10,1.08,5.41,0.76,0.00,6.37,Matches
153,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,eng Premier League,26,1991,6.2,18.4,27.1,67.9,347.3,138.4,0.16,0.81,20.0,14.4,18.5,77.4,3.87,7.74,50.0,0.00,0.00,0.00,0.16,1.77,0.81,0.32,3.87,Matches
154,Milan Badelj\Milan-Badelj,hr CRO,MF,Lazio,it Serie A,29,1989,12.7,58.0,69.1,83.9,1065.0,334.7,1.02,2.13,48.1,44.9,51.1,87.8,12.0,15.8,76.1,0.00,0.05,-0.05,0.94,5.98,0.94,0.24,6.61,Matches
155,Holger Badstuber\Holger-Badstuber,de GER,DF,Stuttgart,de Bundesliga,29,1989,5.8,41.6,45.7,90.9,927.2,277.6,0.52,0.52,100.0,26.7,28.6,93.4,14.3,16.6,86.5,0.00,0.00,0.00,0.00,1.03,0.00,0.00,2.93,Matches
156,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,26,1992,27.4,12.7,18.7,68.2,186.4,30.4,0.44,1.42,30.8,11.0,15.0,73.3,1.28,2.23,57.4,0.04,0.11,-0.07,0.91,0.66,0.44,0.22,1.06,Matches
157,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,de Bundesliga,34,1984,31.3,39.2,51.2,76.4,802.7,234.6,0.29,1.18,24.3,28.4,33.8,84.0,10.5,16.3,64.4,0.03,0.04,-0.01,0.70,3.90,0.51,0.03,5.85,Matches
158,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,20,1997,21.3,29.9,45.1,66.3,532.3,166.4,0.80,2.54,31.5,23.8,30.2,78.7,5.31,12.3,43.0,0.05,0.17,-0.13,2.07,1.78,1.55,0.80,5.07,Matches
159,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,24,1994,7.1,37.6,43.7,86.1,773.1,237.9,0.14,0.85,16.7,26.3,27.9,94.4,11.1,14.9,74.5,0.00,0.00,0.00,0.00,1.13,0.00,0.00,1.41,Matches
160,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,eng Premier League,33,1984,4.2,49.0,62.1,78.9,842.1,370.7,0.95,1.67,57.1,40.7,47.6,85.5,7.38,12.9,57.4,0.00,0.05,-0.05,0.95,3.81,0.48,0.24,10.2,Matches
161,Marvin Bakalorz\Marvin-Bakalorz,de GER,MF,Hannover 96,de Bundesliga,28,1989,16.3,18.7,24.9,75.1,321.4,77.2,0.67,1.66,40.7,14.9,17.8,83.8,3.13,5.46,57.3,0.00,0.03,-0.03,0.61,1.29,0.37,0.06,1.78,Matches
162,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Milan,it Serie A,23,1994,25.6,46.0,52.9,87.0,822.9,231.8,0.70,1.48,47.4,36.9,41.5,89.0,8.36,9.88,84.6,0.04,0.07,-0.03,0.98,4.65,0.55,0.08,5.82,Matches
163,Ridle Baku\Ridle-Baku,de GER,MF,Mainz 05,de Bundesliga,20,1998,10.4,34.2,42.2,81.1,681.1,141.5,0.10,1.35,7.1,25.8,31.0,83.2,8.37,9.90,84.5,0.00,0.09,-0.09,0.58,3.17,0.38,0.10,3.56,Matches
164,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,26,1991,22.4,29.2,37.4,78.2,621.7,254.6,0.22,0.58,38.5,20.1,23.3,86.0,8.93,13.5,66.2,0.00,0.00,-0.00,0.13,1.47,0.00,0.00,1.88,Matches
165,Keita Baldé\Keita-Balde,sn SEN,FWMF,Inter,it Serie A,23,1995,9.9,26.2,34.7,75.3,402.5,67.8,0.51,2.63,19.2,22.4,26.3,85.4,3.23,5.86,55.2,0.20,0.16,0.04,1.72,0.81,1.62,0.71,2.42,Matches
