Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP0,pass_1/3,PPA,CrsPA,Prog,Matches
351,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,eng Premier League,21,1997,25.1,25.9,35.0,73.8,426.6,136.7,0.60,2.03,29.4,21.6,26.8,80.7,3.67,6.22,59.0,0.20,0.16,0.04,1.16,2.23,1.59,0.12,4.38,Matches
352,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,25,1993,29.0,51.4,59.6,86.3,1389.0,390.4,0.21,0.62,33.3,23.5,26.7,88.0,27.7,32.3,85.9,0.07,0.03,0.03,0.10,4.03,0.14,0.00,4.76,Matches
353,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,30,1988,24.5,38.6,54.8,70.4,848.2,412.7,0.20,1.47,13.9,26.6,32.2,82.5,11.8,21.1,55.9,0.20,0.18,0.02,1.67,2.98,1.47,0.86,10.6,Matches
354,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,25,1992,29.4,78.3,90.0,86.9,1632.3,478.8,0.68,1.60,42.6,55.0,59.5,92.6,22.6,29.0,77.8,0.03,0.10,-0.06,1.67,10.1,1.56,0.41,10.1,Matches
355,Bruma\Bruma,pt POR,MFFW,RB Leipzig,de Bundesliga,23,1994,6.1,47.2,58.2,81.1,710.2,183.3,0.33,1.80,18.2,41.5,47.2,87.8,5.41,9.18,58.9,0.16,0.18,-0.02,1.48,3.77,0.98,0.00,4.59,Matches
356,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Schalke 04,de Bundesliga,26,1991,6.9,36.7,44.5,82.4,865.2,288.1,0.43,0.87,50.0,23.0,25.4,90.9,13.2,18.3,72.2,0.00,0.00,0.00,0.00,3.19,0.43,0.00,4.49,Matches
357,Bruno\Bruno,es ESP,DF,Brighton,eng Premier League,37,1980,12.6,40.2,50.3,79.8,783.3,362.8,0.32,1.11,28.6,29.7,32.8,90.6,10.2,16.4,61.8,0.08,0.02,0.06,0.48,2.70,0.71,0.24,5.95,Matches
358,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FWMF,Dortmund,de Bundesliga,19,1998,14.1,29.6,37.9,77.9,477.3,88.4,0.64,1.49,42.9,24.9,30.6,81.3,4.04,5.82,69.5,0.14,0.21,-0.06,1.28,0.64,0.99,0.00,3.19,Matches
359,Bryan\Bryan,es ESP,MFFW,Sevilla,es La Liga,17,2001,1.9,28.4,42.6,66.7,385.3,94.2,1.05,4.21,25.0,25.8,33.7,76.6,1.58,4.74,33.3,0.53,0.21,0.32,1.05,1.58,1.05,0.53,2.63,Matches
360,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,eng Premier League,24,1993,26.1,34.8,49.5,70.3,628.9,291.1,0.23,1.61,14.3,28.5,34.5,82.7,5.98,13.3,44.8,0.04,0.10,-0.06,0.88,3.03,0.92,0.54,6.74,Matches
361,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Paris S-G,fr Ligue 1,40,1978,17.0,21.6,23.6,91.3,520.8,326.6,0.24,0.29,80.0,13.7,13.9,98.7,7.65,9.47,80.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
362,Niko Bungert\Niko-Bungert,de GER,DF,Mainz 05,de Bundesliga,31,1986,3.2,31.3,35.0,89.3,718.1,202.5,0.31,0.31,100.0,19.4,21.3,91.2,11.6,13.4,86.0,0.00,0.00,0.00,0.31,1.56,0.00,0.00,0.94,Matches
363,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,29,1989,17.0,11.5,17.8,64.6,175.5,36.8,0.59,1.76,33.3,9.41,13.6,69.3,1.47,2.41,61.0,0.00,0.06,-0.06,0.65,0.76,0.53,0.18,1.24,Matches
364,Burgui\Burgui,es ESP,MFFW,Alavés,es La Liga,24,1993,6.2,26.9,34.2,78.8,472.6,155.0,0.48,1.13,42.9,20.6,24.7,83.7,5.81,8.39,69.2,0.00,0.08,-0.08,1.77,2.74,1.13,0.32,5.00,Matches
365,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWMF,Mainz 05,de Bundesliga,18,2000,2.9,11.7,19.7,59.6,203.4,69.0,0.00,1.03,0.0,8.97,12.1,74.3,2.76,6.55,42.1,0.00,0.17,-0.17,1.72,0.34,1.38,1.03,2.41,Matches
366,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,27,1990,32.0,23.3,33.3,70.1,701.2,409.6,0.00,0.00,,11.3,11.5,98.6,12.0,21.8,55.0,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.03,Matches
367,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,22,1996,15.0,41.9,49.5,84.8,704.1,248.1,0.47,1.27,36.8,36.0,39.6,90.9,5.47,8.60,63.6,0.00,0.03,-0.03,0.33,1.93,0.40,0.27,3.60,Matches
368,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,30,1988,30.2,71.6,79.4,90.2,1333.6,357.7,1.52,2.48,61.3,54.7,59.2,92.3,15.4,17.6,87.4,0.03,0.04,-0.00,0.50,7.91,0.50,0.00,5.79,Matches
369,Gaëtan Bussmann\Gaetan-Bussmann,fr FRA,DF,Mainz 05,de Bundesliga,27,1991,1.0,40.0,57.0,70.2,689.0,228.0,0.00,0.00,,34.0,42.0,81.0,6.00,15.0,40.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,Matches
370,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,es La Liga,26,1992,22.5,31.5,44.9,70.0,681.0,293.0,0.49,0.98,50.0,21.6,25.3,85.3,9.38,18.6,50.4,0.04,0.03,0.02,0.49,2.93,0.58,0.31,4.98,Matches
371,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,35,1983,36.0,16.9,27.0,62.5,649.0,472.6,0.03,0.08,33.3,5.42,5.44,99.5,11.4,21.4,53.2,0.00,0.00,-0.00,0.06,0.44,0.00,0.00,0.00,Matches
372,David Button\David-Button,eng ENG,GK,Brighton,eng Premier League,29,1989,4.0,12.0,27.0,44.4,566.5,462.0,0.00,0.00,,2.75,2.75,100.0,9.25,24.3,38.1,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,Matches
373,Jakub Błaszczykowski\Jakub-Blaszczykowski,pl POL,FW,Wolfsburg,de Bundesliga,32,1985,0.1,20.0,20.0,100.0,210.0,60.0,0.00,0.00,,20.0,20.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
374,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,es La Liga,23,1995,18.1,28.5,39.1,72.9,613.6,291.4,0.44,0.94,47.1,20.1,23.8,84.2,8.01,14.4,55.8,0.00,0.01,-0.01,0.17,3.31,0.33,0.00,3.43,Matches
375,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,36,1981,2.0,25.5,31.5,81.0,752.5,419.5,0.00,0.00,,14.0,14.0,100.0,11.5,17.5,65.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
376,Rémy Cabella\Remy-Cabella,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,28,1990,33.3,52.8,63.1,83.7,850.0,212.3,1.38,2.40,57.5,43.3,49.1,88.2,8.08,11.6,69.7,0.12,0.17,-0.05,1.71,5.38,1.71,0.33,6.79,Matches
377,Gustavo Cabral\Gustavo-Cabral,ar ARG,DF,Celta Vigo,es La Liga,32,1985,21.1,38.2,43.9,87.1,812.6,225.2,0.43,0.81,52.9,25.3,27.6,91.6,12.5,15.5,81.0,0.00,0.01,-0.01,0.19,1.71,0.09,0.00,1.37,Matches
378,Rafael Cabral\Rafael-Cabral,br BRA,GK,Sampdoria,it Serie A,28,1990,2.0,23.0,32.0,71.9,748.5,485.5,0.00,0.50,0.0,10.0,10.0,100.0,13.0,21.5,60.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
379,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,es La Liga,27,1991,31.0,18.6,34.6,53.7,499.8,249.4,0.16,1.35,11.9,9.61,14.9,64.4,8.81,18.3,48.1,0.00,0.01,-0.01,0.13,2.87,0.29,0.10,4.77,Matches
380,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Cagliari,it Serie A,31,1986,6.4,45.8,58.6,78.1,897.5,364.8,0.31,1.56,20.0,34.1,38.8,87.9,11.4,18.3,62.4,0.31,0.09,0.22,0.78,2.81,1.09,0.47,7.34,Matches
381,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Chievo,it Serie A,31,1986,5.5,36.0,48.5,74.2,704.2,347.6,0.36,1.45,25.0,26.7,32.4,82.6,8.91,14.7,60.5,0.00,0.16,-0.16,1.64,5.27,2.00,0.91,8.18,Matches
382,Martín Cáceres\Martin-Caceres,uy URU,DFFW,Lazio,it Serie A,31,1987,3.4,37.6,45.3,83.1,670.3,237.6,0.00,0.88,0.0,30.9,34.1,90.5,6.76,10.3,65.7,0.00,0.00,0.00,0.00,3.82,0.00,0.00,2.94,Matches
383,Martín Cáceres\Martin-Caceres,uy URU,DF,Juventus,it Serie A,31,1987,7.0,60.0,65.9,91.1,1151.9,294.6,0.29,1.00,28.6,47.4,50.0,94.9,12.3,14.9,82.7,0.00,0.00,0.00,0.14,4.14,0.00,0.00,2.00,Matches
384,Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,fr Ligue 1,21,1997,25.5,45.2,55.5,81.5,923.3,384.1,0.47,1.41,33.3,33.6,37.9,88.6,11.2,16.2,69.2,0.04,0.03,0.01,0.43,3.53,0.71,0.31,5.65,Matches
385,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,FWMF,Reims,fr Ligue 1,21,1997,23.3,19.6,32.1,61.0,420.2,140.7,0.13,0.99,13.0,14.0,18.5,75.6,5.45,12.6,43.3,0.13,0.17,-0.04,1.67,2.19,0.94,0.43,4.55,Matches
386,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,eng Premier League,32,1985,0.3,60.0,66.7,90.0,1130.0,650.0,0.00,0.00,,53.3,60.0,88.9,6.67,6.67,100.0,0.00,0.00,0.00,0.00,3.33,0.00,0.00,20.0,Matches
387,Yannick Cahuzac\Yannick-Cahuzac,fr FRA,MFDF,Toulouse,fr Ligue 1,33,1985,15.9,28.2,34.4,81.9,480.6,120.5,1.01,1.45,69.6,21.3,24.8,85.8,5.85,8.11,72.1,0.00,0.02,-0.02,0.38,1.76,0.13,0.00,2.26,Matches
388,Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,it Serie A,29,1988,15.2,18.2,24.1,75.5,254.1,57.3,0.86,1.64,52.0,15.5,19.9,77.6,1.91,2.57,74.4,0.13,0.11,0.02,1.18,1.25,0.86,0.00,2.04,Matches
389,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Guingamp,fr Ligue 1,24,1994,21.0,13.9,26.1,53.3,604.7,469.8,0.05,0.10,50.0,3.81,4.00,95.2,10.0,22.0,45.7,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,Matches
390,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,eng Premier League,27,1991,24.4,51.5,57.9,89.0,890.0,164.4,0.66,1.19,55.2,41.6,44.7,93.1,9.26,12.0,77.1,0.04,0.12,-0.08,1.52,4.47,1.27,0.08,4.88,Matches
391,Caiuby\Caiuby,br BRA,FWMF,Augsburg,de Bundesliga,30,1988,11.2,24.6,35.2,70.1,445.2,119.6,0.36,1.61,22.2,18.9,26.1,72.6,5.36,7.50,71.4,0.09,0.11,-0.02,1.43,2.50,1.43,0.45,4.46,Matches
392,Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Bologna,it Serie A,22,1996,15.7,36.8,46.1,79.8,724.8,313.3,0.32,1.21,26.3,27.8,31.9,87.0,8.66,12.9,67.0,0.00,0.02,-0.02,0.64,3.38,0.64,0.38,5.10,Matches
393,Davide Calabria\Davide-Calabria,it ITA,DF,Milan,it Serie A,21,1996,21.7,55.0,68.0,80.9,990.6,381.3,0.92,2.30,40.0,45.2,50.6,89.3,8.89,15.1,58.8,0.09,0.10,-0.00,0.88,5.25,0.97,0.65,7.19,Matches
394,Jordi Calavera\Jordi-Calavera,es ESP,DF,Eibar,es La Liga,22,1995,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
395,Fernando Calero\Fernando-Calero,es ESP,DF,Valladolid,es La Liga,22,1995,34.8,35.1,41.1,85.3,745.6,280.3,0.11,0.29,40.0,24.5,26.7,91.8,10.5,14.2,73.9,0.00,0.01,-0.01,0.14,2.79,0.14,0.03,2.64,Matches
396,Duje Ćaleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,21,1996,17.2,40.5,46.9,86.4,969.0,318.5,0.29,0.76,38.5,23.7,26.0,90.8,16.5,20.1,82.3,0.00,0.00,0.00,0.06,2.38,0.12,0.00,2.56,Matches
397,Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,FWMF,Milan,it Serie A,24,1994,32.0,47.1,59.0,79.9,894.4,217.7,0.69,2.00,34.4,35.8,40.5,88.6,10.6,16.5,64.0,0.19,0.17,0.02,2.53,4.34,1.41,0.09,6.44,Matches
398,Daniel Caligiuri\Daniel-Caligiuri,it ITA,DF,Schalke 04,de Bundesliga,30,1988,30.6,37.4,54.3,68.8,758.0,392.6,0.42,1.83,23.2,26.9,32.7,82.1,10.1,19.8,51.0,0.10,0.14,-0.04,1.73,3.46,1.70,0.42,11.0,Matches
399,José Callejón\Jose-Callejon,es ESP,MFFW,Napoli,it Serie A,31,1987,29.4,46.6,57.2,81.3,825.1,191.9,0.78,1.84,42.6,37.4,42.3,88.5,8.37,13.1,63.7,0.34,0.31,0.03,2.55,2.59,1.87,0.78,5.51,Matches
400,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Alavés,es La Liga,24,1993,31.9,14.3,23.2,61.8,214.5,50.6,0.69,1.72,40.0,12.0,18.1,66.3,1.66,3.42,48.6,0.06,0.07,-0.01,0.69,1.13,0.60,0.22,1.76,Matches
401,Jan-Ingwer Callsen-Bracker\Jan-Ingwer-Callsen-Bracker,de GER,DF,Augsburg,de Bundesliga,33,1984,0.1,50.0,50.0,100.0,1440.0,80.0,0.00,0.00,,20.0,20.0,100.0,30.0,30.0,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
402,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,21,1997,19.8,14.3,22.3,64.2,204.9,36.8,0.71,1.52,46.7,11.7,17.5,66.9,1.87,3.23,57.8,0.10,0.06,0.04,0.51,1.11,0.35,0.05,1.06,Matches
403,Ignacio Camacho\Ignacio-Camacho,es ESP,MF,Wolfsburg,de Bundesliga,28,1990,6.0,40.8,53.2,76.8,903.0,294.3,0.50,2.17,23.1,26.8,33.5,80.1,13.5,17.5,77.1,0.00,0.07,-0.07,0.33,6.83,0.33,0.00,7.17,Matches
404,Juanjo Camacho\Juanjo-Camacho,es ESP,MF,Huesca,es La Liga,37,1980,0.4,32.5,55.0,59.1,237.5,107.5,10.0,10.0,100.0,22.5,37.5,60.0,0.00,7.50,0.0,0.00,0.75,-0.75,5.00,0.00,0.00,0.00,0.00,Matches
405,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,eng Premier League,18,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
406,Mahdi Camara\Mahdi-Camara,fr FRA,FW,Saint-Étienne,fr Ligue 1,20,1998,0.1,10.0,10.0,100.0,220.0,0.00,0.00,0.00,,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
407,Souleymane Camara\Souleymane-Camara,sn SEN,FWMF,Montpellier,fr Ligue 1,35,1982,1.5,24.0,35.3,67.9,389.3,76.0,0.67,2.67,25.0,20.7,29.3,70.5,2.67,3.33,80.0,0.00,0.07,-0.07,0.67,1.33,0.67,0.00,2.00,Matches
408,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,eng Premier League,24,1994,28.5,24.6,35.3,69.8,466.5,124.8,0.46,1.68,27.1,18.4,22.9,80.5,5.75,10.7,53.6,0.14,0.12,0.02,1.65,2.14,0.88,0.25,4.18,Matches
409,Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,15,2002,4.0,30.5,35.8,85.3,635.8,129.0,0.25,1.25,20.0,20.5,22.5,91.1,9.75,12.0,81.3,0.00,0.05,-0.05,0.25,2.00,0.50,0.00,3.25,Matches
410,Sergio Camello\Sergio-Camello,es ESP,FW,Atlético Madrid,es La Liga,17,2001,0.5,16.0,20.0,80.0,246.0,68.0,0.00,2.00,0.0,14.0,14.0,100.0,2.00,4.00,50.0,0.00,0.20,-0.20,2.00,0.00,0.00,0.00,2.00,Matches
411,José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,25,1993,35.7,44.4,55.0,80.6,820.2,257.8,0.70,1.60,43.9,34.0,38.2,89.1,9.64,15.3,63.1,0.25,0.11,0.14,1.43,4.37,0.70,0.17,6.53,Matches
412,Joel Campbell\Joel-Campbell,cr CRC,FWMF,Frosinone,it Serie A,26,1992,9.9,19.5,27.3,71.5,330.0,70.7,0.40,1.62,25.0,16.0,20.0,79.8,3.13,5.66,55.4,0.30,0.11,0.19,1.11,1.52,0.61,0.20,2.12,Matches
413,Emre Can\Emre-Can,de GER,MF,Juventus,it Serie A,24,1994,20.1,44.3,51.0,86.7,852.5,169.6,0.35,0.85,41.2,33.5,37.2,90.2,10.4,13.0,79.8,0.05,0.12,-0.07,0.95,3.33,0.70,0.10,3.53,Matches
414,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,es La Liga,27,1991,29.5,52.7,63.0,83.6,947.8,172.3,0.75,1.90,39.3,42.5,45.8,92.7,9.46,15.3,61.9,0.07,0.19,-0.12,1.90,3.25,1.36,0.37,4.64,Matches
415,João Cancelo\Joao-Cancelo,pt POR,DF,Juventus,it Serie A,24,1994,21.9,57.6,69.7,82.6,1075.5,355.8,0.37,1.32,27.6,45.6,51.2,89.1,11.6,17.2,67.6,0.14,0.15,-0.01,1.46,4.20,2.10,1.00,7.53,Matches
416,Antonio Candreva\Antonio-Candreva,it ITA,FWMF,Inter,it Serie A,31,1987,5.6,37.5,53.9,69.5,657.3,199.5,1.07,4.11,26.1,29.6,35.0,84.7,6.79,14.8,45.8,0.00,0.20,-0.20,2.86,1.43,2.32,1.43,7.68,Matches
417,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,es La Liga,26,1992,18.2,37.0,50.5,73.2,643.2,249.5,0.77,2.64,29.2,29.9,35.9,83.3,6.26,11.9,52.5,0.00,0.05,-0.05,0.55,2.20,1.48,0.44,6.48,Matches
418,Luan Capanni\Luan-Capanni,br BRA,FW,Lazio,it Serie A,18,2000,0.1,30.0,50.0,60.0,340.0,90.0,0.00,10.0,0.0,30.0,40.0,75.0,0.00,0.00,,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,Matches
419,Pierrick Capelle\Pierrick-Capelle,fr FRA,MFDF,Angers,fr Ligue 1,31,1987,20.5,37.2,46.8,79.6,653.5,257.7,0.54,1.71,31.4,30.5,35.1,86.9,6.15,9.95,61.8,0.15,0.17,-0.02,1.46,2.93,0.83,0.39,6.15,Matches
420,Leonardo Capezzi\Leonardo-Capezzi,it ITA,MF,Empoli,it Serie A,23,1995,8.6,53.4,63.5,84.1,1054.7,250.1,0.47,0.93,50.0,40.2,45.5,88.5,12.7,17.1,74.1,0.00,0.03,-0.03,0.35,6.05,0.93,0.12,5.23,Matches
421,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,eng Premier League,30,1988,32.7,45.3,54.4,83.4,893.3,244.7,0.70,1.16,60.5,33.8,38.6,87.5,10.9,14.6,74.3,0.09,0.03,0.06,0.28,4.65,0.55,0.03,5.02,Matches
422,Gianluca Caprari\Gianluca-Caprari,it ITA,FWMF,Sampdoria,it Serie A,25,1993,11.5,29.7,38.3,77.7,454.8,97.5,0.87,2.00,43.5,25.0,28.5,87.8,3.83,7.74,49.4,0.17,0.12,0.05,1.13,1.13,1.22,0.26,3.22,Matches
423,Marco Capuano\Marco-Capuano,it ITA,DF,Frosinone,it Serie A,26,1991,25.6,38.0,45.8,83.0,689.8,297.6,0.74,1.33,55.9,30.5,33.5,91.0,6.76,10.9,61.8,0.00,0.02,-0.02,0.23,1.95,0.20,0.04,2.89,Matches
424,Francesco Caputo\Francesco-Caputo,it ITA,FW,Empoli,it Serie A,30,1987,38.0,18.7,24.2,77.3,269.3,39.5,0.58,1.55,37.3,16.2,20.1,80.5,1.95,2.55,76.3,0.08,0.15,-0.07,1.21,0.45,0.63,0.08,1.16,Matches
425,Yoan Cardinale\Yoan-Cardinale,fr FRA,GK,Nice,fr Ligue 1,24,1994,3.0,20.7,21.0,98.4,468.0,248.3,0.00,0.00,,14.3,14.7,97.7,6.33,6.33,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
426,Marc Cardona\Marc-Cardona,es ESP,FWMF,Eibar,es La Liga,23,1995,6.7,19.1,26.7,71.5,267.6,56.6,0.60,1.79,33.3,16.9,21.2,79.6,1.64,3.73,44.0,0.15,0.10,0.04,0.75,1.19,0.60,0.15,1.49,Matches
427,Carlos\Carlos,br BRA,FWMF,Monaco,fr Ligue 1,23,1995,5.8,9.66,18.8,51.4,120.0,35.2,0.52,2.24,23.1,8.45,15.0,56.3,0.69,1.55,44.4,0.17,0.10,0.07,1.03,1.21,0.69,0.00,1.38,Matches
428,Diego Carlos\Diego-Carlos,br BRA,DF,Nantes,fr Ligue 1,25,1993,35.0,39.7,48.0,82.7,908.1,366.8,0.29,0.69,41.7,25.9,28.6,90.5,13.5,18.7,72.3,0.00,0.01,-0.01,0.20,3.23,0.34,0.03,3.57,Matches
429,Jonas Carls\Jonas-Carls,de GER,DF,Schalke 04,de Bundesliga,21,1997,1.0,19.0,31.0,61.3,352.0,174.0,2.00,4.00,50.0,12.0,17.0,70.6,5.00,10.0,50.0,0.00,0.00,0.00,1.00,1.00,0.00,0.00,8.00,Matches
430,Louis Carnot\Louis-Carnot,fr FRA,MF,Guingamp,fr Ligue 1,17,2001,0.1,30.0,40.0,75.0,470.0,290.0,0.00,10.0,0.0,20.0,20.0,100.0,10.0,10.0,100.0,0.00,3.00,-3.00,10.0,0.00,0.00,0.00,10.0,Matches
431,Lionel Carole\Lionel-Carole,fr FRA,DFMF,Strasbourg,fr Ligue 1,27,1991,19.2,42.4,54.3,78.1,780.8,349.4,0.52,2.08,25.0,34.2,40.3,84.8,7.76,11.9,65.1,0.16,0.10,0.05,1.15,3.33,1.20,0.52,8.49,Matches
432,Daniel Carriço\Daniel-Carrico,pt POR,DF,Sevilla,es La Liga,29,1988,23.7,34.0,41.7,81.5,688.6,255.2,0.30,0.59,50.0,24.9,27.3,91.0,8.86,13.8,64.0,0.04,0.03,0.01,0.21,2.24,0.30,0.04,2.66,Matches
433,Guido Carrillo\Guido-Carrillo,ar ARG,FW,Leganés,es La Liga,27,1991,22.1,18.8,28.2,66.8,253.1,42.7,1.04,2.08,50.0,16.1,22.8,70.4,1.72,3.30,52.1,0.05,0.05,-0.01,0.81,1.54,0.18,0.00,1.49,Matches
434,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,eng Premier League,29,1989,5.1,16.9,25.7,65.6,265.5,49.4,0.98,1.76,55.6,13.1,19.0,69.1,2.75,4.90,56.0,0.00,0.04,-0.04,0.59,0.78,0.00,0.00,0.78,Matches
435,Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,26,1992,23.4,68.0,78.4,86.8,1181.0,389.7,0.68,2.61,26.2,55.7,60.9,91.4,11.6,14.8,78.4,0.09,0.14,-0.05,1.24,3.59,1.20,0.34,6.15,Matches
436,William Carvalho\William-Carvalho,pt POR,MF,Betis,es La Liga,26,1992,26.5,64.3,72.1,89.2,1204.4,293.6,0.91,1.74,52.2,50.3,54.8,91.9,13.1,15.6,83.8,0.19,0.07,0.12,0.64,7.62,1.06,0.00,6.75,Matches
437,Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,26,1992,25.7,56.0,63.4,88.3,1097.2,279.4,1.09,1.79,60.9,40.6,44.4,91.6,14.2,17.2,82.6,0.00,0.02,-0.02,0.51,4.28,0.54,0.04,4.28,Matches
438,Santiago Cáseres\Santiago-Caseres,ar ARG,MF,Villarreal,es La Liga,21,1997,17.6,44.4,48.9,90.7,931.9,203.9,0.57,0.97,58.8,30.3,32.7,92.7,13.5,15.2,88.4,0.06,0.05,0.01,0.85,4.26,0.28,0.06,4.15,Matches
439,Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,fr Ligue 1,20,1998,0.7,58.6,68.6,85.4,1191.4,170.0,0.00,0.00,,44.3,52.9,83.8,14.3,15.7,90.9,0.00,0.00,0.00,0.00,1.43,0.00,0.00,5.71,Matches
440,Francesco Cassata\Francesco-Cassata,it ITA,MFFW,Frosinone,it Serie A,21,1997,12.5,21.6,28.2,76.7,402.5,106.9,0.80,1.68,47.6,16.2,19.5,83.2,4.56,6.96,65.5,0.16,0.04,0.12,0.80,2.08,0.72,0.16,2.72,Matches
441,Timothy Castagne\Timothy-Castagne,be BEL,DFMF,Atalanta,it Serie A,22,1995,22.3,46.8,56.1,83.4,734.7,248.3,0.81,2.11,38.3,40.9,45.7,89.5,5.11,8.34,61.3,0.13,0.11,0.03,1.08,2.15,0.85,0.49,5.78,Matches
442,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,26,1992,25.5,36.0,46.7,77.2,1190.6,652.0,0.00,0.00,,13.5,13.6,99.4,22.5,33.1,68.0,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.12,Matches
443,Samu Castillejo\Samu-Castillejo,es ESP,FWMF,Milan,it Serie A,23,1995,11.4,35.9,44.6,80.5,613.9,143.2,0.70,2.02,34.8,29.1,32.1,90.7,6.05,10.4,58.0,0.18,0.15,0.03,1.75,3.25,1.14,0.18,4.21,Matches
444,Gonzalo Castro\Gonzalo-Castro,de GER,MF,Stuttgart,de Bundesliga,31,1987,18.8,36.6,49.3,74.2,708.8,225.3,0.53,1.70,31.3,27.8,32.1,86.7,8.24,15.5,53.1,0.21,0.10,0.11,1.49,3.67,0.80,0.00,5.80,Matches
445,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,eng Premier League,24,1994,30.8,36.5,45.3,80.6,553.8,179.8,0.52,1.92,27.1,32.6,37.4,87.2,3.38,5.97,56.5,0.03,0.05,-0.02,0.81,1.23,0.71,0.16,3.47,Matches
446,Lucas Castro\Lucas-Castro,ar ARG,MFFW,Cagliari,it Serie A,29,1989,10.0,37.1,48.8,76.0,592.3,176.1,0.80,1.80,44.4,31.8,37.9,83.9,4.50,9.10,49.5,0.30,0.18,0.12,1.30,2.80,1.30,0.40,4.60,Matches
