Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
452,Santi Cazorla\Santi-Cazorla,es ESP,MFFW,Villarreal,es La Liga,33,1984,29.4,0.14,0.07,0.10,0.92,0.24,0.14,25.9,0.92,0.24,0.07,0.29,0.14,0.06,0.07,-0.00,0.01,Matches
453,Dani Ceballos\Dani-Ceballos,es ESP,MFFW,Real Madrid,es La Liga,21,1996,13.9,0.22,0.00,0.00,1.51,0.36,0.07,23.8,1.51,0.36,0.14,0.60,0.16,0.16,0.10,0.06,0.06,Matches
454,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Fiorentina,it Serie A,26,1992,11.0,0.00,0.00,0.00,0.18,0.09,0.00,50.0,0.18,0.09,0.00,0.00,0.01,0.01,0.06,-0.01,-0.01,Matches
455,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,eng Premier League,36,1982,6.5,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
456,Žan Celar\Zan-Celar,si SVN,FW,Roma,it Serie A,19,1999,0.1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
457,Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,fr Ligue 1,21,1997,33.0,0.03,0.00,0.00,0.42,0.12,0.00,28.6,0.42,0.12,0.07,0.25,0.03,0.03,0.08,-0.00,-0.00,Matches
458,Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,it Serie A,28,1989,22.8,0.09,0.00,0.00,0.70,0.18,0.00,25.0,0.70,0.18,0.13,0.50,0.07,0.07,0.10,0.02,0.02,Matches
459,Fabio Ceravolo\Fabio-Ceravolo,it ITA,FW,Parma,it Serie A,31,1987,13.2,0.15,0.08,0.15,1.36,0.61,0.00,44.4,1.37,0.61,0.06,0.13,0.27,0.15,0.11,-0.11,-0.08,Matches
460,Alberto Cerri\Alberto-Cerri,it ITA,FW,Cagliari,it Serie A,22,1996,7.4,0.00,0.00,0.00,2.84,0.41,0.00,14.3,2.82,0.40,0.00,0.00,0.26,0.26,0.09,-0.26,-0.26,Matches
461,Boštjan Cesar\Bostjan-Cesar,si SVN,DF,Chievo,it Serie A,36,1982,12.0,0.08,0.00,0.00,0.33,0.08,0.00,25.0,0.33,0.08,0.25,1.00,0.02,0.02,0.05,0.07,0.07,Matches
462,Nacer Chadli\Nacer-Chadli,be BEL,MFFW,Monaco,fr Ligue 1,28,1989,7.7,0.00,0.00,0.00,0.39,0.13,0.13,33.3,0.39,0.13,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
463,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,fr Ligue 1,31,1986,20.5,0.00,0.00,0.00,0.49,0.20,0.00,40.0,0.49,0.19,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
464,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,eng Premier League,23,1994,3.0,0.00,0.00,0.00,0.67,0.33,0.00,50.0,0.67,0.33,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
465,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,eng Premier League,23,1995,28.8,0.07,0.00,0.00,1.22,0.42,0.00,34.3,1.22,0.42,0.06,0.17,0.08,0.08,0.06,-0.01,-0.01,Matches
466,Timothy Chandler\Timothy-Chandler,us USA,FW,Eint Frankfurt,de Bundesliga,28,1990,0.2,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
467,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,FWMF,Dijon,fr Ligue 1,24,1994,10.4,0.19,0.00,0.00,1.92,0.58,0.10,30.0,1.92,0.58,0.10,0.33,0.20,0.20,0.11,-0.01,-0.01,Matches
468,Charles\Charles,br BRA,FW,Eibar,es La Liga,34,1984,19.3,0.73,0.31,0.36,3.06,1.24,0.00,40.7,3.05,1.24,0.14,0.33,0.59,0.31,0.10,0.14,0.10,Matches
469,Xavier Chavalerin\Xavier-Chavalerin,fr FRA,MF,Reims,fr Ligue 1,27,1991,36.0,0.06,0.00,0.00,0.58,0.22,0.00,38.1,0.58,0.22,0.10,0.25,0.03,0.03,0.04,0.03,0.03,Matches
470,Pablo Chavarría\Pablo-Chavarria,ar ARG,FW,Reims,fr Ligue 1,30,1988,21.9,0.23,0.00,0.00,2.01,0.82,0.00,40.9,2.01,0.82,0.11,0.28,0.28,0.28,0.14,-0.05,-0.05,Matches
471,Chechu\Chechu,es ESP,DF,Rayo Vallecano,es La Liga,36,1982,1.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
472,Pape Cheikh Diop\Pape-Cheikh-Diop,es ESP,MF,Lyon,fr Ligue 1,20,1997,5.0,0.00,0.00,0.00,0.80,0.20,0.00,25.0,0.79,0.20,0.00,0.00,0.10,0.10,0.11,-0.10,-0.10,Matches
473,Chema\Chema,es ESP,DF,Levante,es La Liga,26,1992,13.9,0.14,0.00,0.00,0.36,0.14,0.00,40.0,0.36,0.14,0.40,1.00,0.04,0.04,0.10,0.11,0.11,Matches
474,Denis Cheryshev\Denis-Cheryshev,ru RUS,MFFW,Valencia,es La Liga,27,1990,19.0,0.11,0.00,0.00,1.53,0.37,0.00,24.1,1.53,0.37,0.07,0.29,0.18,0.18,0.12,-0.07,-0.07,Matches
475,Raman Chibsah\Raman-Chibsah,gh GHA,MF,Frosinone,it Serie A,25,1993,29.1,0.03,0.00,0.00,1.17,0.34,0.00,29.4,1.17,0.34,0.03,0.10,0.09,0.09,0.08,-0.06,-0.06,Matches
476,Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,Getafe,es La Liga,28,1990,1.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
477,Giorgio Chiellini\Giorgio-Chiellini,it ITA,DF,Juventus,it Serie A,33,1984,22.1,0.05,0.00,0.00,0.68,0.18,0.00,26.7,0.68,0.18,0.07,0.25,0.07,0.07,0.10,-0.03,-0.03,Matches
478,Federico Chiesa\Federico-Chiesa,it ITA,FWMF,Fiorentina,it Serie A,20,1997,33.7,0.18,0.00,0.00,3.95,1.25,0.00,31.6,3.95,1.25,0.05,0.14,0.26,0.26,0.07,-0.08,-0.08,Matches
479,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,eng Premier League,21,1996,36.0,0.00,0.00,0.00,0.56,0.28,0.00,50.0,0.56,0.28,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
480,Vlad Chiricheș\Vlad-Chiriches,ro ROU,DF,Napoli,it Serie A,28,1989,1.6,0.00,0.00,0.00,0.63,0.00,0.00,0.0,0.61,0.00,0.00,,0.19,0.19,0.25,-0.19,-0.19,Matches
481,Tahith Chong\Tahith-Chong,nl NED,FW,Manchester Utd,eng Premier League,18,1999,0.4,0.00,0.00,0.00,5.00,2.50,0.00,50.0,4.74,2.37,0.00,0.00,0.25,0.25,0.04,-0.25,-0.25,Matches
482,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,eng Premier League,20,1997,6.6,0.00,0.00,0.00,0.61,0.30,0.00,50.0,0.61,0.30,0.00,0.00,0.05,0.05,0.09,-0.05,-0.05,Matches
483,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,eng Premier League,22,1996,6.9,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
484,Cyrus Christie\Cyrus-Christie,ie IRL,DF,Fulham,eng Premier League,25,1992,21.6,0.00,0.00,0.00,0.51,0.19,0.00,36.4,0.51,0.18,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
485,Samuel Chukwueze\Samuel-Chukwueze,ng NGA,FWMF,Villarreal,es La Liga,19,1999,19.0,0.26,0.00,0.00,3.05,1.21,0.00,39.7,3.06,1.21,0.09,0.22,0.29,0.29,0.10,-0.03,-0.03,Matches
486,Camillo Ciano\Camillo-Ciano,it ITA,FWMF,Frosinone,it Serie A,28,1990,27.3,0.26,0.07,0.11,2.67,0.77,0.77,28.8,2.68,0.77,0.07,0.24,0.23,0.15,0.06,0.03,0.04,Matches
487,Amato Ciciretti\Amato-Ciciretti,it ITA,FWMF,Parma,it Serie A,24,1993,1.5,0.00,0.00,0.00,0.67,0.00,0.00,0.0,0.65,0.00,0.00,,0.07,0.07,0.14,-0.07,-0.07,Matches
488,Luca Cigarini\Luca-Cigarini,it ITA,MF,Cagliari,it Serie A,32,1986,18.7,0.00,0.00,0.00,1.02,0.11,0.11,10.5,1.02,0.11,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
489,Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,31,1987,11.1,0.00,0.00,0.00,0.45,0.09,0.00,20.0,0.45,0.09,0.00,0.00,0.06,0.06,0.13,-0.06,-0.06,Matches
490,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Barcelona,es La Liga,29,1989,3.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
491,Laurent Ciman\Laurent-Ciman,be BEL,DF,Dijon,fr Ligue 1,32,1985,8.0,0.00,0.00,0.00,1.00,0.38,0.25,37.5,1.00,0.38,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
492,Daniel Ciofani\Daniel-Ciofani,it ITA,FW,Frosinone,it Serie A,33,1985,18.0,0.28,0.11,0.11,2.78,1.00,0.00,36.0,2.78,1.00,0.06,0.17,0.29,0.21,0.07,-0.02,-0.04,Matches
493,Thiago Cionek\Thiago-Cionek,pl POL,DF,SPAL,it Serie A,32,1986,28.2,0.00,0.00,0.00,0.46,0.00,0.00,0.0,0.46,0.00,0.00,,0.02,0.02,0.04,-0.02,-0.02,Matches
494,Ibrahima Cissé\Ibrahima-Cisse,gn GUI,MFFW,Fulham,eng Premier League,24,1994,1.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
495,Till Cissokho\Till-Cissokho,fr FRA,DF,Bordeaux,fr Ligue 1,18,2000,0.9,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
496,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,eng Premier League,28,1989,9.5,0.32,0.00,0.00,0.74,0.32,0.00,42.9,0.73,0.31,0.43,1.00,0.03,0.03,0.05,0.28,0.28,Matches
497,Tom Cleverley\Tom-Cleverley,eng ENG,MFFW,Watford,eng Premier League,28,1989,5.3,0.19,0.00,0.00,0.57,0.19,0.19,33.3,0.56,0.19,0.33,1.00,0.04,0.04,0.05,0.15,0.15,Matches
498,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Bournemouth,eng Premier League,27,1991,12.7,0.00,0.00,0.00,0.16,0.00,0.00,0.0,0.16,0.00,0.00,,0.02,0.02,0.14,-0.02,-0.02,Matches
499,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,eng Premier League,27,1991,1.2,0.00,0.00,0.00,2.50,0.00,0.00,0.0,2.43,0.00,0.00,,0.08,0.08,0.02,-0.08,-0.08,Matches
500,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,eng Premier League,25,1993,38.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
501,Marcus Coco\Marcus-Coco,fr FRA,FWMF,Guingamp,fr Ligue 1,22,1996,20.4,0.05,0.00,0.00,1.32,0.34,0.00,25.9,1.32,0.34,0.04,0.14,0.12,0.12,0.09,-0.07,-0.07,Matches
502,Coke\Coke,es ESP,DF,Levante,es La Liga,31,1987,20.2,0.20,0.00,0.00,0.64,0.35,0.00,53.8,0.64,0.35,0.31,0.57,0.06,0.06,0.10,0.13,0.13,Matches
503,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,eng Premier League,22,1995,1.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
504,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,eng Premier League,29,1988,28.4,0.07,0.00,0.00,0.46,0.18,0.00,38.5,0.46,0.18,0.15,0.40,0.04,0.04,0.09,0.03,0.03,Matches
505,Álex Collado\Alex-Collado,es ESP,FW,Barcelona,es La Liga,19,1999,0.9,0.00,0.00,0.00,2.22,0.00,0.00,0.0,2.12,0.00,0.00,,0.22,0.22,0.08,-0.22,-0.22,Matches
506,Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,it Serie A,25,1992,19.6,0.00,0.00,0.00,0.41,0.05,0.00,12.5,0.41,0.05,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
507,Racine Coly\Racine-Coly,sn SEN,DFMF,Nice,fr Ligue 1,22,1995,5.6,0.00,0.00,0.00,0.89,0.00,0.00,0.0,0.89,0.00,0.00,,0.04,0.04,0.05,-0.04,-0.04,Matches
508,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,22,1996,15.3,0.39,0.00,0.00,2.03,1.18,0.00,58.1,2.02,1.18,0.19,0.33,0.25,0.25,0.13,0.14,0.14,Matches
509,Santi Comesaña\Santi-Comesana,es ESP,MF,Rayo Vallecano,es La Liga,21,1996,22.6,0.04,0.00,0.00,0.40,0.09,0.04,22.2,0.40,0.09,0.11,0.50,0.03,0.03,0.08,0.01,0.01,Matches
510,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,33,1985,36.6,0.05,0.00,0.00,0.44,0.14,0.00,31.3,0.44,0.14,0.13,0.40,0.05,0.05,0.10,0.01,0.01,Matches
511,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,31,1987,35.7,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
512,Andrea Conti\Andrea-Conti,it ITA,DF,Milan,it Serie A,24,1994,5.6,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
513,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,eng Premier League,21,1997,8.0,0.00,0.00,0.00,0.38,0.00,0.00,0.0,0.37,0.00,0.00,,0.01,0.01,0.03,-0.01,-0.01,Matches
514,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,eng Premier League,27,1991,31.0,0.03,0.00,0.00,0.71,0.26,0.00,36.4,0.71,0.26,0.05,0.13,0.04,0.04,0.05,-0.00,-0.00,Matches
515,Duje Čop\Duje-Cop,hr CRO,FW,Valladolid,es La Liga,28,1990,7.6,0.00,0.00,0.00,2.11,0.79,0.00,37.5,2.10,0.79,0.00,0.00,0.34,0.34,0.16,-0.34,-0.34,Matches
516,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Valencia,es La Liga,27,1991,19.6,0.00,0.00,0.00,0.51,0.15,0.00,30.0,0.51,0.15,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
517,Gabriele Corbo\Gabriele-Corbo,it ITA,DF,Bologna,it Serie A,18,2000,0.1,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
518,Iñigo Córdoba\Inigo-Cordoba,es ESP,FW,Athletic Club,es La Liga,21,1997,14.7,0.00,0.00,0.00,1.50,0.54,0.00,36.4,1.50,0.55,0.00,0.00,0.08,0.08,0.06,-0.08,-0.08,Matches
519,Sergio Córdova\Sergio-Cordova,ve VEN,FW,Augsburg,de Bundesliga,20,1997,5.9,0.51,0.00,0.00,2.03,0.68,0.00,33.3,2.03,0.68,0.25,0.75,0.24,0.24,0.12,0.27,0.27,Matches
520,Benjamin Corgnet\Benjamin-Corgnet,fr FRA,MFFW,Strasbourg,fr Ligue 1,31,1987,7.5,0.13,0.00,0.00,2.40,0.93,0.00,38.9,2.41,0.94,0.06,0.14,0.24,0.24,0.10,-0.11,-0.11,Matches
521,Ante Ćorić\Ante-Coric,hr CRO,MF,Roma,it Serie A,21,1997,0.3,0.00,0.00,0.00,3.33,0.00,0.00,0.0,3.75,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,Matches
522,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,29,1989,36.8,0.03,0.00,0.00,0.41,0.05,0.00,13.3,0.41,0.05,0.07,0.50,0.04,0.04,0.11,-0.02,-0.02,Matches
523,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Bordeaux,fr Ligue 1,25,1993,8.8,0.34,0.00,0.00,2.50,1.02,0.00,40.9,2.50,1.02,0.14,0.33,0.24,0.24,0.10,0.10,0.10,Matches
524,Maxwel Cornet\Maxwel-Cornet,ci CIV,FW,Lyon,fr Ligue 1,21,1996,14.2,0.49,0.00,0.00,3.38,1.48,0.14,43.8,3.37,1.48,0.15,0.33,0.49,0.49,0.14,0.01,0.01,Matches
525,Quentin Cornette\Quentin-Cornette,fr FRA,MFFW,Amiens,fr Ligue 1,24,1994,2.3,0.00,0.00,0.00,3.04,0.87,0.00,28.6,3.01,0.86,0.00,0.00,0.22,0.22,0.07,-0.22,-0.22,Matches
526,Ángel Correa\Angel-Correa,ar ARG,MFFW,Atlético Madrid,es La Liga,23,1995,21.3,0.14,0.00,0.00,1.50,0.52,0.00,34.4,1.50,0.52,0.09,0.27,0.10,0.10,0.07,0.04,0.04,Matches
527,Joaquín Correa\Joaquin-Correa,ar ARG,FWMF,Lazio,it Serie A,23,1994,21.4,0.23,0.00,0.00,3.27,1.36,0.05,41.4,3.27,1.35,0.07,0.17,0.32,0.32,0.10,-0.08,-0.08,Matches
528,Danny da Costa\Danny-da-Costa,de GER,DFMF,Eint Frankfurt,de Bundesliga,25,1993,33.7,0.06,0.00,0.00,0.62,0.21,0.00,33.3,0.62,0.21,0.10,0.29,0.09,0.09,0.15,-0.03,-0.03,Matches
529,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,es La Liga,29,1988,12.4,0.16,0.00,0.00,1.29,0.81,0.00,62.5,1.29,0.81,0.13,0.20,0.13,0.13,0.10,0.03,0.03,Matches
530,Douglas Costa\Douglas-Costa,br BRA,FWMF,Juventus,it Serie A,27,1990,6.9,0.14,0.00,0.00,2.90,0.87,0.00,30.0,2.90,0.87,0.05,0.17,0.10,0.10,0.03,0.04,0.04,Matches
531,Filippo Costa\Filippo-Costa,it ITA,MFDF,SPAL,it Serie A,23,1995,6.3,0.00,0.00,0.00,0.95,0.00,0.16,0.0,0.96,0.00,0.00,,0.05,0.05,0.06,-0.05,-0.05,Matches
532,Hélder Costa\Helder-Costa,pt POR,FWMF,Wolves,eng Premier League,24,1994,14.9,0.07,0.00,0.00,1.68,0.47,0.00,28.0,1.68,0.47,0.04,0.14,0.16,0.16,0.10,-0.09,-0.09,Matches
533,Jaume Costa\Jaume-Costa,es ESP,DF,Villarreal,es La Liga,30,1988,16.6,0.06,0.00,0.00,0.78,0.12,0.00,15.4,0.78,0.12,0.08,0.50,0.04,0.04,0.05,0.02,0.02,Matches
534,Nuno da Costa\Nuno-da-Costa,cv CPV,FW,Strasbourg,fr Ligue 1,27,1991,22.8,0.35,0.04,0.04,1.97,0.75,0.00,37.8,1.97,0.75,0.16,0.41,0.25,0.21,0.11,0.11,0.10,Matches
535,David Costas\David-Costas,es ESP,DF,Celta Vigo,es La Liga,23,1995,13.0,0.00,0.00,0.00,0.15,0.15,0.00,100.0,0.15,0.15,0.00,0.00,0.01,0.01,0.05,-0.01,-0.01,Matches
536,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
537,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,26,1991,19.5,0.41,0.05,0.05,2.56,0.82,0.00,32.0,2.57,0.82,0.14,0.44,0.38,0.35,0.14,0.03,0.01,Matches
538,Senou Coulibaly\Senou-Coulibaly,ml MLI,DFMF,Dijon,fr Ligue 1,23,1994,4.6,0.22,0.00,0.00,0.43,0.22,0.00,50.0,0.44,0.22,0.50,1.00,0.02,0.02,0.07,0.20,0.20,Matches
539,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,26,1992,27.0,0.00,0.00,0.00,0.04,0.00,0.00,0.0,0.04,0.00,0.00,,0.00,0.00,0.06,-0.00,-0.00,Matches
540,Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Barcelona,es La Liga,26,1992,22.4,0.22,0.00,0.00,2.99,1.38,0.13,46.3,2.99,1.38,0.07,0.16,0.32,0.32,0.11,-0.09,-0.09,Matches
541,Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,fr Ligue 1,19,1999,10.9,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
542,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,24,1994,38.0,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
543,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,eng Premier League,28,1989,17.7,0.00,0.00,0.00,0.62,0.00,0.11,0.0,0.62,0.00,0.00,,0.03,0.03,0.05,-0.03,-0.03,Matches
544,Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,it Serie A,31,1986,34.1,0.06,0.03,0.03,0.88,0.15,0.15,16.7,0.88,0.15,0.03,0.20,0.05,0.03,0.03,0.01,0.00,Matches
545,Lorenzo Crisetig\Lorenzo-Crisetig,it ITA,MF,Frosinone,it Serie A,25,1993,5.6,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
546,Bryan Cristante\Bryan-Cristante,it ITA,MF,Roma,it Serie A,23,1995,26.9,0.15,0.00,0.00,1.64,0.41,0.00,25.0,1.63,0.41,0.09,0.36,0.14,0.14,0.09,0.00,0.00,Matches
547,Sebastián Cristóforo\Sebastian-Cristoforo,uy URU,MFFW,Getafe,es La Liga,24,1993,5.0,0.00,0.00,0.00,0.20,0.20,0.00,100.0,0.20,0.20,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
548,Enzo Crivelli\Enzo-Crivelli,fr FRA,FW,Caen,fr Ligue 1,23,1995,25.1,0.24,0.00,0.00,0.88,0.40,0.00,45.5,0.88,0.40,0.27,0.60,0.21,0.21,0.24,0.03,0.03,Matches
549,Peter Crouch\Peter-Crouch,eng ENG,FW,Burnley,eng Premier League,37,1981,1.0,0.00,0.00,0.00,4.00,1.00,0.00,25.0,3.91,0.98,0.00,0.00,0.30,0.30,0.08,-0.30,-0.30,Matches
550,Alessio da Cruz\Alessio-da-Cruz,nl NED,FWMF,Parma,it Serie A,21,1997,1.6,0.00,0.00,0.00,0.63,0.00,0.00,0.0,0.62,0.00,0.00,,0.00,0.00,0.04,0.00,0.00,Matches
551,Juan Cuadrado\Juan-Cuadrado,co COL,MFDF,Juventus,it Serie A,30,1988,13.6,0.07,0.00,0.00,1.18,0.22,0.00,18.8,1.18,0.22,0.06,0.33,0.08,0.08,0.07,-0.01,-0.01,Matches
552,Cucho\Cucho,co COL,FW,Huesca,es La Liga,19,1999,23.9,0.17,0.08,0.08,3.31,1.00,0.13,30.4,3.31,1.00,0.03,0.08,0.40,0.33,0.10,-0.23,-0.25,Matches
553,Marc Cucurella\Marc-Cucurella,es ESP,MFFW,Eibar,es La Liga,20,1998,26.2,0.04,0.00,0.00,0.80,0.08,0.00,9.5,0.80,0.08,0.05,0.50,0.07,0.07,0.09,-0.03,-0.03,Matches
554,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,es La Liga,34,1984,33.9,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
555,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,M'gladbach,de Bundesliga,18,1999,3.1,0.00,0.00,0.00,2.58,0.32,0.32,12.5,2.58,0.32,0.00,0.00,0.16,0.16,0.06,-0.16,-0.16,Matches
556,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,RB Leipzig,de Bundesliga,19,1999,9.5,0.21,0.00,0.00,3.58,1.16,0.00,32.4,3.59,1.16,0.06,0.18,0.36,0.36,0.10,-0.15,-0.15,Matches
557,Greg Cunningham\Greg-Cunningham,ie IRL,DF,Cardiff City,eng Premier League,27,1991,7.0,0.00,0.00,0.00,0.14,0.14,0.00,100.0,0.14,0.14,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
558,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Milan,it Serie A,20,1998,16.2,0.19,0.00,0.00,2.22,0.86,0.00,38.9,2.22,0.86,0.08,0.21,0.25,0.25,0.11,-0.07,-0.07,Matches
559,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,fr Ligue 1,23,1995,26.2,0.15,0.04,0.08,1.98,0.69,0.61,34.6,1.98,0.69,0.06,0.17,0.18,0.12,0.06,-0.03,-0.01,Matches
560,Marco D'Alessandro\Marco-DAlessandro,it ITA,DFMF,Udinese,it Serie A,27,1991,16.6,0.00,0.00,0.00,0.66,0.12,0.00,18.2,0.66,0.12,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches
561,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,29,1988,28.7,0.07,0.00,0.00,0.59,0.21,0.00,35.3,0.59,0.21,0.12,0.33,0.08,0.08,0.14,-0.01,-0.01,Matches
562,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,30,1988,31.9,0.06,0.00,0.00,0.44,0.06,0.00,14.3,0.44,0.06,0.14,1.00,0.04,0.04,0.09,0.02,0.02,Matches
563,Kouadio-Yves Dabila\Kouadio-Yves-Dabila,ci CIV,DF,Lille,fr Ligue 1,21,1997,8.7,0.00,0.00,0.00,0.23,0.00,0.00,0.0,0.23,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,Matches
564,Abdoulaye Dabo\Abdoulaye-Dabo,fr FRA,FW,Nantes,fr Ligue 1,17,2001,1.3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
565,Bryan Dabo\Bryan-Dabo,bf BFA,MFDF,Fiorentina,it Serie A,26,1992,9.2,0.11,0.00,0.00,0.98,0.43,0.00,44.4,0.97,0.43,0.11,0.25,0.12,0.12,0.13,-0.01,-0.01,Matches
566,Christoph Daferner\Christoph-Daferner,de GER,FW,Freiburg,de Bundesliga,20,1998,0.3,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,,0.00,0.00,Matches
567,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,19,1998,10.2,0.00,0.00,0.00,0.29,0.10,0.00,33.3,0.29,0.10,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
