,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
255,Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,Juventus,it Serie A,21,1997,22.3,55.6,54.7,0.85,0.58,0.09,8.07,1.97,0.81,0.04,0.00,0.00,0.00,45.2,3.90,6.46,8.83,43.6,1.93,0.22,0.09,48.1,0.04,0.72,1.21,0.90,Matches
256,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,eng Premier League,27,1990,9.0,27.0,25.7,1.33,0.11,0.22,10.1,0.67,0.11,0.00,0.00,0.00,0.00,10.7,6.22,10.1,1.78,13.1,4.67,0.00,0.67,15.4,0.00,0.56,1.00,0.78,Matches
257,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,es La Liga,30,1987,32.8,37.0,34.6,2.35,0.21,0.49,8.75,1.07,0.61,0.06,0.00,0.00,0.00,29.2,5.03,2.71,5.82,29.5,0.73,0.12,0.34,30.8,0.15,0.30,0.85,1.25,Matches
258,Yassine Benzia\Yassine-Benzia,dz ALG,MF,Lille,fr Ligue 1,23,1994,1.8,55.6,54.4,1.11,0.56,0.00,10.0,2.78,1.11,0.00,0.00,0.00,0.00,39.4,8.33,7.78,6.67,47.8,1.11,0.00,0.00,45.0,0.00,1.11,0.00,1.11,Matches
259,Domenico Berardi\Domenico-Berardi,it ITA,FWMF,Sassuolo,it Serie A,23,1994,31.9,41.8,38.9,2.88,0.91,0.16,7.37,1.32,3.79,1.79,0.06,0.28,0.06,28.6,5.74,7.46,33.5,6.36,0.97,0.13,0.28,29.9,0.13,1.19,0.88,2.45,Matches
260,Yuri Berchiche\Yuri-Berchiche,es ESP,DFFW,Athletic Club,es La Liga,28,1990,34.7,50.0,41.4,8.59,0.75,0.00,8.88,1.10,2.94,0.06,0.00,0.00,0.00,28.9,11.3,9.83,35.3,3.26,2.39,7.78,0.09,40.1,0.12,0.84,0.89,1.53,Matches
261,Álex Berenguer\Alex-Berenguer,es ESP,MFFW,Torino,it Serie A,23,1995,16.5,45.6,38.0,7.64,1.27,0.12,6.36,1.76,5.27,2.00,0.06,0.18,0.00,25.9,8.61,11.1,6.42,31.9,2.30,4.24,0.18,32.1,0.12,1.82,0.91,1.94,Matches
262,Bartosz Bereszyński\Bartosz-Bereszynski,pl POL,DF,Sampdoria,it Serie A,26,1992,24.4,65.0,54.8,10.2,1.68,0.00,8.52,0.78,2.13,0.00,0.00,0.00,0.00,45.5,11.1,8.40,3.98,50.0,1.84,8.57,0.04,53.4,0.12,0.98,1.64,2.25,Matches
263,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,eng Premier League,27,1990,19.5,31.3,27.3,3.95,1.49,0.05,8.21,2.36,6.05,2.21,0.15,0.21,0.05,18.3,3.69,9.28,24.8,3.74,1.79,0.26,0.10,20.9,0.31,0.67,0.77,1.18,Matches
264,Markel Bergara\Markel-Bergara,es ESP,MF,Getafe,es La Liga,32,1986,0.6,35.0,33.3,1.67,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,23.3,5.00,6.67,0.00,28.3,6.67,0.00,0.00,25.0,1.67,1.67,0.00,1.67,Matches
265,Robert Berić\Robert-Beric,si SVN,FW,Saint-Étienne,fr Ligue 1,27,1991,13.1,14.8,13.1,1.68,0.00,0.08,3.13,0.00,0.23,0.00,0.00,0.00,0.00,9.85,2.37,2.60,1.45,10.5,1.30,0.08,0.53,10.5,0.00,0.15,0.53,0.69,Matches
266,Etrit Berisha\Etrit-Berisha,al ALB,GK,Atalanta,it Serie A,29,1989,18.0,26.4,17.2,9.22,2.06,0.00,1.72,0.61,0.00,0.00,0.00,0.00,0.00,11.8,2.22,12.4,15.8,5.11,0.06,0.00,5.22,19.1,0.00,0.56,0.00,0.00,Matches
267,Valon Berisha\Valon-Berisha,xk KVX,MF,Lazio,it Serie A,25,1993,2.2,69.1,65.0,4.09,0.91,0.00,9.09,1.82,4.09,3.18,0.00,0.00,0.00,53.2,6.82,9.09,5.45,57.7,5.45,0.00,0.45,55.9,0.45,0.45,1.36,0.91,Matches
268,Bernard\Bernard,br BRA,FWMF,Everton,eng Premier League,25,1992,23.5,36.9,36.3,0.55,0.13,0.04,8.34,0.72,2.17,0.17,0.00,0.00,0.00,26.0,5.66,5.28,10.2,25.3,0.85,0.26,0.30,26.9,0.09,0.94,1.23,1.91,Matches
269,Federico Bernardeschi\Federico-Bernardeschi,it ITA,FWMF,Juventus,it Serie A,24,1994,16.4,43.5,39.0,4.45,0.79,0.30,7.20,2.74,5.00,2.87,0.18,0.43,0.06,29.9,4.76,8.78,38.5,3.05,0.85,0.43,0.49,33.4,0.18,1.16,0.67,1.46,Matches
270,Bernardo\Bernardo,br BRA,DF,Brighton,eng Premier League,23,1995,19.5,52.0,40.6,11.4,0.67,0.00,7.03,0.82,1.64,0.00,0.00,0.00,0.00,27.2,9.38,15.4,33.6,3.28,3.13,10.7,0.10,37.7,0.10,1.33,1.44,1.69,Matches
271,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,21,1997,38.0,29.3,17.4,11.8,4.21,0.00,1.32,0.63,0.00,0.00,0.00,0.00,0.00,9.34,1.03,18.9,19.6,3.76,0.05,0.00,4.26,16.5,0.08,1.24,0.03,0.16,Matches
272,Juan Bernat\Juan-Bernat,es ESP,DFMF,Paris S-G,fr Ligue 1,25,1993,20.4,58.9,53.0,5.88,0.93,0.10,10.3,0.54,2.01,0.25,0.10,0.00,0.05,47.1,7.75,4.07,50.8,1.91,0.98,4.71,0.10,52.1,0.20,0.44,0.69,1.23,Matches
273,Antoine Bernede\Antoine-Bernede,fr FRA,MF,Paris S-G,fr Ligue 1,19,1999,1.9,87.4,86.8,0.53,0.00,0.00,13.7,0.53,0.00,0.00,0.00,0.00,0.00,83.2,2.11,2.11,17.9,67.9,1.05,0.53,0.00,83.2,0.00,1.05,0.00,0.00,Matches
274,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,20,1998,1.0,36.0,18.0,18.0,5.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,2.00,27.0,0.00,31.0,0.00,0.00,3.00,18.0,0.00,1.00,0.00,1.00,Matches
275,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,eng Premier League,28,1989,24.0,45.6,34.6,11.0,0.96,0.04,6.96,1.33,3.88,1.25,0.33,0.29,0.04,23.0,8.92,13.6,28.9,3.33,3.29,8.79,0.33,33.1,0.25,1.13,0.71,1.88,Matches
276,Daniel Bessa\Daniel-Bessa,it ITA,MF,Genoa,it Serie A,25,1993,27.1,40.8,38.1,2.69,0.48,0.15,9.45,1.48,2.03,1.07,0.07,0.04,0.00,31.0,4.21,5.57,3.51,35.2,1.07,0.52,0.18,33.2,0.15,0.63,0.81,1.51,Matches
277,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,eng Premier League,26,1992,7.0,33.9,21.6,12.3,3.14,0.00,2.14,1.14,0.00,0.00,0.00,0.00,0.00,12.9,0.57,20.4,0.71,27.9,0.29,0.00,4.00,22.0,0.57,1.71,0.29,0.14,Matches
278,Louis Beyer\Louis-Beyer,de GER,DF,M'gladbach,de Bundesliga,18,2000,8.0,58.1,52.4,5.75,0.88,0.00,5.63,2.13,0.25,0.00,0.00,0.00,0.00,45.6,5.13,7.38,6.75,44.5,1.25,4.88,0.13,50.6,0.13,0.88,1.13,1.00,Matches
279,Jonathan Biabiany\Jonathan-Biabiany,fr FRA,FWMF,Parma,it Serie A,30,1988,11.9,27.3,26.3,1.01,0.00,0.17,8.07,0.59,1.34,0.00,0.00,0.00,0.00,17.1,4.29,5.88,2.27,20.9,2.18,1.01,0.00,20.0,0.08,0.59,0.84,0.92,Matches
280,Giulian Biancone\Giulian-Biancone,fr FRA,DF,Monaco,fr Ligue 1,18,2000,1.0,48.0,37.0,11.0,1.00,0.00,9.00,1.00,1.00,0.00,0.00,0.00,0.00,23.0,11.0,14.0,6.00,28.0,2.00,10.0,1.00,35.0,0.00,0.00,0.00,1.00,Matches
281,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,de Bundesliga,28,1990,19.9,58.8,56.7,2.11,1.31,0.05,7.89,0.70,0.40,0.00,0.00,0.00,0.00,46.8,5.68,6.38,15.9,37.3,3.67,0.80,0.10,51.9,0.15,0.60,0.75,0.85,Matches
282,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,es La Liga,27,1990,6.5,47.2,45.4,1.85,1.69,0.00,6.00,2.00,0.00,0.00,0.00,0.00,0.00,28.3,4.62,14.3,22.5,16.9,6.31,0.15,0.15,38.3,0.62,0.77,0.31,0.31,Matches
283,Lucas Biglia\Lucas-Biglia,ar ARG,MF,Milan,it Serie A,32,1986,12.4,66.5,63.3,3.23,2.90,0.00,7.58,2.58,0.24,0.08,0.00,0.00,0.00,50.6,7.42,8.55,14.4,48.5,2.74,0.16,0.24,60.7,0.16,0.40,1.21,0.65,Matches
284,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,eng Premier League,22,1996,24.3,51.5,45.7,5.80,0.58,0.08,10.8,2.02,2.30,0.04,0.04,0.00,0.00,31.3,5.68,14.5,34.4,6.21,3.13,5.14,0.12,37.5,0.08,1.65,1.36,1.15,Matches
285,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,Fiorentina,it Serie A,25,1992,35.5,55.2,41.9,13.2,1.94,0.08,6.37,2.11,7.61,2.39,0.56,0.48,0.11,26.8,10.5,17.9,37.1,6.06,2.54,8.90,0.14,38.8,0.14,1.44,0.99,2.28,Matches
286,Davide Biraschi\Davide-Biraschi,it ITA,DF,Genoa,it Serie A,24,1994,31.6,40.8,35.3,5.51,1.39,0.16,6.77,0.41,1.52,0.03,0.00,0.03,0.00,19.4,5.06,16.3,1.77,31.2,2.82,4.08,0.09,26.9,0.28,1.11,0.54,1.20,Matches
287,Valter Birsa\Valter-Birsa,si SVN,MFFW,Cagliari,it Serie A,31,1986,3.9,62.6,55.1,7.44,1.03,0.00,10.5,3.59,9.23,5.13,2.05,2.31,0.00,40.8,7.69,14.1,44.4,15.9,2.05,0.00,0.00,49.2,0.26,1.03,1.03,1.54,Matches
288,Valter Birsa\Valter-Birsa,si SVN,MFFW,Chievo,it Serie A,31,1986,12.2,46.2,41.4,4.84,1.64,0.41,6.72,2.38,5.08,2.46,0.00,0.00,0.00,30.1,5.33,10.8,30.4,13.1,1.89,0.33,0.08,33.4,0.49,1.07,0.74,2.54,Matches
289,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,eng Premier League,21,1996,19.7,36.9,35.5,1.37,0.15,0.05,6.70,0.96,0.41,0.15,0.00,0.05,0.00,27.6,4.72,4.57,3.65,30.0,2.03,0.15,0.36,30.3,0.25,0.66,0.81,0.81,Matches
290,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Hoffenheim,de Bundesliga,24,1993,11.9,41.3,38.7,2.69,0.67,0.00,7.65,1.18,3.61,1.60,0.00,0.17,0.00,27.4,6.47,7.48,8.24,29.8,2.52,0.42,0.25,30.5,0.25,1.09,0.92,2.18,Matches
291,Alejandro Blanco\Alejandro-Blanco,es ESP,FWMF,Alavés,es La Liga,19,1998,0.2,30.0,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.0,5.00,0.00,30.0,0.00,0.00,0.00,0.00,20.0,0.00,5.00,0.00,0.00,Matches
292,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,23,1995,25.0,32.5,20.1,12.4,3.64,0.04,1.92,0.96,0.00,0.00,0.00,0.00,0.00,13.0,1.40,18.1,4.20,22.3,0.12,0.00,4.52,21.2,0.12,0.96,0.12,0.08,Matches
293,Ludovic Blas\Ludovic-Blas,fr FRA,MFFW,Guingamp,fr Ligue 1,20,1997,26.4,35.6,35.2,0.38,0.15,0.19,8.22,1.33,0.76,0.00,0.00,0.00,0.00,24.2,4.20,7.16,27.7,4.09,2.54,0.11,0.08,27.1,0.11,0.80,0.64,1.14,Matches
294,Pablo de Blasis\Pablo-de-Blasis,ar ARG,FW,Mainz 05,de Bundesliga,30,1988,1.0,29.0,29.0,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,17.0,3.00,9.00,6.00,21.0,2.00,0.00,0.00,14.0,1.00,0.00,2.00,3.00,Matches
295,Pablo de Blasis\Pablo-de-Blasis,ar ARG,DFMF,Eibar,es La Liga,30,1988,16.9,46.9,40.9,6.04,0.41,0.30,5.56,1.12,3.85,0.00,0.00,0.00,0.00,22.1,10.8,14.1,7.34,29.9,2.90,5.62,0.06,32.8,0.12,0.77,1.24,1.95,Matches
296,Alexis Blin\Alexis-Blin,fr FRA,MF,Amiens,fr Ligue 1,21,1996,22.1,42.0,41.2,0.77,0.63,0.00,6.29,0.59,0.27,0.00,0.00,0.00,0.00,29.3,6.11,6.61,4.39,32.4,3.62,0.09,0.36,34.4,0.23,0.68,0.72,1.00,Matches
297,Danny Blum\Danny-Blum,de GER,FW,Eint Frankfurt,de Bundesliga,27,1991,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,Matches
298,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FW,Levante,es La Liga,22,1996,7.8,13.7,12.9,0.77,0.00,0.00,3.59,0.13,0.38,0.00,0.00,0.00,0.00,8.59,1.79,3.33,1.79,8.33,2.18,0.00,0.13,8.97,0.13,0.38,0.26,0.51,Matches
299,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,de Bundesliga,29,1988,18.8,86.4,84.7,1.65,1.33,0.16,10.0,4.26,0.37,0.00,0.00,0.00,0.00,66.2,6.06,14.1,27.4,54.4,3.03,0.32,0.43,76.1,0.43,1.49,0.74,0.59,Matches
300,Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,FW,Barcelona,es La Liga,31,1987,2.7,24.1,21.9,2.22,0.37,0.00,8.15,0.37,0.00,0.00,0.00,0.00,0.00,18.9,3.33,1.85,2.59,19.3,0.37,0.00,0.00,18.1,0.37,0.74,0.37,1.48,Matches
301,Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,FW,Sassuolo,it Serie A,31,1987,10.4,30.8,28.1,2.69,0.29,0.10,4.33,0.77,0.48,0.00,0.00,0.00,0.00,22.6,4.62,3.56,4.62,22.6,1.54,0.19,0.58,24.5,0.19,0.67,0.29,1.25,Matches
302,Antonin Bobichon\Antonin-Bobichon,fr FRA,MF,Nîmes,fr Ligue 1,22,1995,23.9,37.3,34.4,2.85,1.26,0.13,8.37,1.09,2.05,1.21,0.04,0.13,0.08,26.4,4.52,6.40,2.13,32.7,1.46,0.33,0.04,30.5,0.04,0.54,0.71,0.46,Matches
303,Yann Bodiger\Yann-Bodiger,fr FRA,MF,Toulouse,fr Ligue 1,23,1995,0.1,130.0,120.0,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.0,10.0,20.0,90.0,30.0,10.0,0.00,0.00,90.0,0.00,0.00,10.0,0.00,Matches
304,Mathieu Bodmer\Mathieu-Bodmer,fr FRA,MFFW,Amiens,fr Ligue 1,35,1982,11.9,53.4,50.9,2.52,1.26,0.17,10.6,0.67,0.25,0.00,0.00,0.00,0.00,34.0,8.49,10.9,7.39,38.7,4.79,0.25,0.17,37.5,0.34,1.34,1.43,1.85,Matches
305,Adam Bodzek\Adam-Bodzek,de GER,MFDF,Düsseldorf,de Bundesliga,32,1985,17.7,38.5,36.5,2.03,1.98,0.00,4.75,2.32,0.00,0.00,0.00,0.00,0.00,27.4,5.25,5.88,3.73,30.7,3.05,0.00,0.34,33.1,0.00,0.51,0.40,0.40,Matches
306,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,de Bundesliga,24,1994,23.6,37.3,36.4,0.93,0.42,0.47,6.27,1.23,0.93,0.00,0.00,0.00,0.00,26.4,5.51,5.42,8.39,26.4,1.48,0.17,0.42,28.8,0.25,0.47,1.06,1.36,Matches
307,Sacha Boey\Sacha-Boey,fr FRA,DFMF,Rennes,fr Ligue 1,17,2000,0.2,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,Matches
308,Jeremie Boga\Jeremie-Boga,ci CIV,FWMF,Sassuolo,it Serie A,21,1997,16.0,30.9,30.4,0.50,0.00,0.00,5.44,0.31,0.94,0.19,0.00,0.00,0.00,25.0,4.13,1.75,3.56,26.1,0.56,0.13,0.38,26.2,0.00,0.38,0.50,1.25,Matches
309,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,eng Premier League,27,1991,35.2,48.2,47.1,1.02,0.85,0.09,9.01,1.31,0.00,0.00,0.00,0.00,0.00,33.6,4.83,9.77,8.78,34.1,3.38,0.17,0.09,39.5,0.20,0.77,0.51,0.68,Matches
310,Léo Bonatini\Leo-Bonatini,br BRA,FW,Wolves,eng Premier League,24,1994,1.5,36.7,36.7,0.00,0.00,0.00,10.0,1.33,2.67,0.00,0.00,0.00,0.00,24.7,7.33,4.67,5.33,28.0,3.33,0.00,0.00,27.3,0.00,0.67,0.67,2.67,Matches
311,Giacomo Bonaventura\Giacomo-Bonaventura,it ITA,MF,Milan,it Serie A,28,1989,7.2,51.9,51.3,0.69,0.00,0.00,6.81,1.25,1.11,0.28,0.00,0.00,0.00,42.8,3.33,5.83,8.19,40.7,1.81,0.42,0.28,45.4,0.28,0.83,0.56,0.83,Matches
312,Daniele Bonera\Daniele-Bonera,it ITA,DF,Villarreal,es La Liga,37,1981,2.6,36.2,35.0,1.15,1.15,0.00,5.38,0.38,0.00,0.00,0.00,0.00,0.00,31.2,1.92,3.08,5.77,29.2,0.77,0.00,0.00,33.1,0.00,0.00,0.38,0.00,Matches
313,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,eng Premier League,30,1988,20.1,43.7,32.3,11.4,0.40,0.05,6.97,0.30,2.84,0.00,0.00,0.00,0.00,19.5,8.06,16.2,25.7,4.03,2.54,11.0,0.00,29.8,0.15,0.90,0.70,1.74,Matches
314,Kevin Bonifazi\Kevin-Bonifazi,it ITA,DF,SPAL,it Serie A,22,1996,25.6,47.7,45.0,2.70,2.03,0.04,8.40,0.94,0.23,0.00,0.00,0.00,0.00,36.1,4.73,6.88,16.0,28.5,1.84,0.66,0.16,42.0,0.08,0.66,0.35,0.43,Matches
315,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,it Serie A,31,1987,27.5,58.5,55.8,2.76,2.73,0.11,5.71,2.47,0.18,0.00,0.00,0.00,0.00,40.5,6.47,11.5,7.78,47.3,2.22,0.04,0.44,50.9,0.22,0.91,0.51,0.15,Matches
316,Fabio Borini\Fabio-Borini,it ITA,FWMF,Milan,it Serie A,27,1991,11.7,32.6,29.3,3.25,0.68,0.00,6.15,0.77,1.20,0.34,0.17,0.00,0.00,19.7,5.38,7.52,5.30,23.1,1.03,2.05,0.09,22.5,0.26,0.85,0.94,1.37,Matches
317,Robin Bormuth\Robin-Bormuth,de GER,DF,Düsseldorf,de Bundesliga,22,1995,6.8,41.0,39.6,1.47,1.32,0.00,5.44,2.35,0.15,0.00,0.00,0.00,0.00,26.6,4.41,10.0,3.53,33.5,3.09,0.15,0.00,33.1,0.00,0.74,0.74,0.44,Matches
318,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,eng Premier League,38,1980,12.0,29.2,16.0,13.2,3.58,0.00,2.00,0.92,0.00,0.00,0.00,0.00,0.00,11.2,2.50,15.5,3.17,20.2,0.00,0.00,4.92,18.8,0.17,1.08,0.08,0.08,Matches
319,Olivier Boscagli\Olivier-Boscagli,fr FRA,DFMF,Nice,fr Ligue 1,20,1997,9.6,67.5,58.0,9.48,1.56,0.10,7.40,2.71,3.33,0.94,0.42,0.52,0.00,40.9,10.2,16.4,47.6,9.90,2.19,6.98,0.00,52.4,0.31,1.88,1.25,0.94,Matches
320,Gabriel Boschilia\Gabriel-Boschilia,br BRA,FWMF,Nantes,fr Ligue 1,22,1996,14.7,37.7,32.9,4.83,1.22,0.07,7.55,1.43,4.42,3.06,0.14,0.07,0.07,27.5,3.81,6.39,26.7,8.64,1.50,0.48,0.34,28.7,0.14,0.61,1.02,1.02,Matches
321,John Bostock\John-Bostock,tt TRI,MF,Toulouse,fr Ligue 1,26,1992,10.9,55.6,51.4,4.22,3.03,0.00,6.97,1.65,1.56,1.19,0.00,0.00,0.00,41.7,4.86,9.08,48.3,3.76,2.84,0.00,0.00,46.6,0.09,0.83,0.83,0.83,Matches
322,Denis Bouanga\Denis-Bouanga,ga GAB,FWMF,Nîmes,fr Ligue 1,23,1994,29.3,23.1,22.4,0.78,0.07,0.10,5.15,0.72,1.60,0.03,0.00,0.00,0.00,15.4,3.69,4.03,3.31,17.4,1.33,0.44,0.07,15.6,0.03,0.68,0.72,0.82,Matches
323,Zacharie Boucher\Zacharie-Boucher,fr FRA,GK,Angers,fr Ligue 1,26,1992,2.0,27.0,15.0,12.0,3.50,0.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00,9.00,1.50,16.5,0.50,19.0,0.00,0.00,4.50,15.0,0.00,1.00,0.00,0.00,Matches
324,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MF,Celta Vigo,es La Liga,28,1990,8.0,48.9,44.3,4.63,1.88,0.63,12.4,2.13,5.88,2.38,0.75,0.88,0.38,30.3,8.00,10.6,37.0,9.25,1.50,0.38,0.00,37.5,0.25,0.63,1.25,1.88,Matches
325,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Betis,es La Liga,28,1990,6.0,57.2,55.3,1.83,0.67,0.00,7.00,1.00,4.00,0.83,0.00,0.00,0.00,44.5,6.17,6.50,47.0,7.83,1.33,0.33,0.33,46.3,0.50,1.00,1.33,0.83,Matches
326,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Celta Vigo,es La Liga,24,1993,23.2,38.1,35.9,2.28,0.69,0.13,6.25,1.38,2.59,1.25,0.47,0.22,0.00,27.8,5.17,5.22,6.47,29.4,1.16,0.30,0.26,29.1,0.13,0.60,0.91,1.21,Matches
327,Nassim Boujellab\Nassim-Boujellab,de GER,MF,Schalke 04,de Bundesliga,19,1999,4.2,25.0,24.8,0.24,0.00,0.24,4.52,0.00,0.00,0.00,0.00,0.00,0.00,14.8,6.43,3.81,2.14,20.0,2.14,0.24,0.00,19.0,0.24,0.71,0.95,0.71,Matches
328,Arnold Bouka Moutou\Arnold-Bouka-Moutou,cg CGO,DFFW,Dijon,fr Ligue 1,29,1988,0.7,40.0,31.4,8.57,2.86,0.00,2.86,1.43,0.00,0.00,0.00,0.00,0.00,25.7,4.29,10.0,30.0,4.29,0.00,5.71,0.00,28.6,0.00,0.00,1.43,1.43,Matches
329,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Girona,es La Liga,27,1991,31.8,30.3,19.9,10.4,2.36,0.00,1.92,1.19,0.00,0.00,0.00,0.00,0.00,12.6,2.20,15.5,17.3,6.29,0.03,0.03,4.47,20.2,0.09,0.79,0.06,0.13,Matches
330,Mehdi Bourabia\Mehdi-Bourabia,ma MAR,MF,Sassuolo,it Serie A,26,1991,22.3,48.7,46.5,2.15,0.94,0.18,8.43,0.45,2.15,0.90,0.00,0.04,0.09,37.7,5.29,5.74,7.98,37.3,1.61,0.31,0.27,39.8,0.09,1.03,0.76,1.88,Matches
331,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MFFW,Rennes,fr Ligue 1,24,1994,26.9,45.6,41.4,4.16,1.45,0.15,8.62,2.68,4.46,1.93,0.33,0.07,0.04,30.0,5.54,10.1,5.65,37.1,1.67,0.74,0.19,34.3,0.15,0.89,1.15,1.41,Matches
332,Bilal Boutobba\Bilal-Boutobba,fr FRA,MF,Montpellier,fr Ligue 1,19,1998,0.4,32.5,27.5,5.00,2.50,0.00,5.00,0.00,2.50,0.00,0.00,0.00,0.00,25.0,2.50,5.00,17.5,15.0,0.00,0.00,0.00,27.5,0.00,0.00,0.00,0.00,Matches
333,Umut Bozok\Umut-Bozok,tr TUR,FW,Nîmes,fr Ligue 1,21,1996,13.7,22.0,20.1,1.90,0.00,0.15,4.89,0.29,0.29,0.00,0.00,0.00,0.00,16.9,2.99,2.12,4.09,15.7,0.88,0.07,0.29,16.3,0.07,0.66,0.51,1.24,Matches
334,Filip Bradarić\Filip-Bradaric,hr CRO,MF,Cagliari,it Serie A,26,1992,16.6,62.8,60.3,2.47,2.29,0.06,8.25,1.75,0.72,0.12,0.06,0.06,0.00,46.1,7.11,9.58,9.46,49.3,3.01,0.06,0.12,53.2,0.42,0.84,1.08,1.02,Matches
335,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,eng Premier League,26,1992,8.0,35.9,30.5,5.38,2.00,0.25,8.00,2.75,6.63,2.50,0.13,0.13,0.38,18.0,5.13,12.8,26.8,6.00,1.13,0.88,0.13,20.3,0.63,2.00,1.38,1.50,Matches
336,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Leganés,es La Liga,27,1991,15.6,16.0,15.6,0.38,0.00,0.19,4.42,0.06,0.13,0.00,0.00,0.00,0.00,9.74,4.29,1.92,1.41,11.5,1.73,0.00,0.45,11.8,0.06,0.45,0.45,0.45,Matches
337,Julian Brandt\Julian-Brandt,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,29.6,63.4,57.6,5.78,1.86,0.51,11.4,2.33,5.00,3.21,0.51,0.30,0.10,46.1,7.87,9.36,10.6,49.6,1.55,0.64,0.51,49.1,0.17,0.84,2.06,1.79,Matches
338,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Alavés,es La Liga,26,1992,17.6,35.1,34.0,1.08,0.51,0.00,5.62,0.45,0.80,0.17,0.06,0.00,0.00,23.4,5.06,6.65,5.51,24.0,3.92,0.23,0.17,28.1,0.00,0.68,0.74,0.91,Matches
339,Pedro Brazão\Pedro-Brazao,pt POR,FWDF,Nice,fr Ligue 1,15,2002,0.2,25.0,25.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,25.0,0.00,0.00,15.0,10.0,0.00,0.00,0.00,25.0,0.00,0.00,0.00,0.00,Matches
340,Fabian Bredlow\Fabian-Bredlow,de GER,GK,Nürnberg,de Bundesliga,23,1995,12.5,37.2,26.0,11.2,2.00,0.00,2.88,1.04,0.00,0.00,0.00,0.00,0.00,20.9,1.20,15.1,20.6,12.1,0.08,0.00,3.44,26.2,0.16,1.04,0.08,0.08,Matches
341,Josip Brekalo\Josip-Brekalo,hr CRO,FWMF,Wolfsburg,de Bundesliga,20,1998,15.7,38.5,34.1,4.33,0.83,0.19,7.52,2.10,3.69,2.36,0.00,0.32,0.00,27.2,4.78,6.50,4.59,31.5,0.96,1.08,0.00,26.8,0.19,0.64,1.46,2.04,Matches
