,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,22.6,21.6,0.95,0.00,0.00,6.29,0.10,0.57,0.10,0.00,0.00,0.00,11.0,6.38,5.24,2.29,11.7,4.38,0.10,1.05,14.2,0.10,0.57,0.95,0.67,Matches
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,45.4,36.9,8.49,1.06,0.00,7.02,1.89,2.04,0.08,0.00,0.04,0.00,26.2,9.09,10.2,11.2,23.9,2.30,7.36,0.11,37.0,0.08,0.83,0.64,1.40,Matches
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,42.8,33.2,9.65,0.75,0.00,5.22,0.80,1.86,0.13,0.13,0.00,0.00,20.8,9.38,12.7,2.26,28.0,3.54,8.67,0.04,29.8,0.18,1.33,1.02,1.81,Matches
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,49.3,46.1,3.25,1.45,0.00,7.09,1.71,0.26,0.00,0.00,0.00,0.00,33.0,3.50,12.8,38.6,5.81,2.05,1.79,0.26,38.6,0.26,1.45,0.77,0.85,Matches
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,28.8,27.0,1.79,0.00,0.22,7.36,0.11,0.51,0.04,0.00,0.00,0.00,22.4,4.10,2.23,2.75,24.5,0.66,0.29,0.29,24.4,0.11,0.33,0.62,0.77,Matches
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,58.4,48.2,10.2,0.43,0.00,10.2,1.28,3.99,0.04,0.00,0.00,0.00,35.5,10.9,12.1,2.42,43.9,1.46,9.75,0.32,47.3,0.32,0.68,1.14,2.10,Matches
25,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,48.7,47.6,1.05,1.05,0.00,4.74,1.84,0.53,0.00,0.00,0.00,0.00,38.9,3.95,5.79,3.95,41.6,2.63,0.00,0.00,42.9,0.26,0.53,0.79,0.26,Matches
26,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,17.2,17.2,0.00,0.00,0.00,1.11,1.11,1.11,0.00,0.00,0.00,0.00,10.6,4.44,2.22,1.11,12.2,1.67,0.00,1.11,14.4,0.00,0.00,0.56,1.11,Matches
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,46.4,45.5,0.92,0.76,0.00,6.39,1.01,0.50,0.00,0.00,0.00,0.00,35.7,4.87,5.80,36.0,6.81,2.69,0.08,0.08,39.1,0.00,1.01,0.84,0.50,Matches
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,37.8,28.9,8.89,0.00,0.00,1.11,0.00,6.67,0.00,0.00,0.00,0.00,14.4,14.4,8.89,2.22,23.3,3.33,8.89,0.00,15.6,1.11,1.11,3.33,2.22,Matches
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24.0,48.3,38.0,10.3,0.54,0.04,7.13,1.46,2.58,0.04,0.00,0.00,0.00,25.6,9.33,13.4,9.17,25.3,3.04,9.67,0.17,35.2,0.04,1.63,0.71,2.00,Matches
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,63.8,62.5,1.35,0.77,0.10,14.1,1.63,0.38,0.00,0.00,0.00,0.00,51.0,7.31,5.58,10.6,50.4,1.83,0.58,0.10,55.8,0.29,0.96,0.67,1.44,Matches
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,62.1,60.3,1.85,1.85,0.17,11.2,2.69,0.17,0.00,0.00,0.00,0.00,49.3,6.39,6.39,16.7,43.1,1.93,0.00,0.08,53.6,0.08,1.76,1.09,0.92,Matches
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,55.0,51.7,3.33,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,48.3,3.33,3.33,46.7,5.00,0.00,3.33,0.00,50.0,0.00,0.00,1.67,0.00,Matches
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,27.5,25.9,1.53,0.00,0.00,9.94,0.76,0.29,0.00,0.00,0.00,0.00,14.4,8.47,4.65,14.8,5.00,2.65,0.06,0.88,20.9,0.12,0.47,0.59,0.71,Matches
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,74.6,72.9,1.76,1.06,0.04,7.35,2.73,0.12,0.00,0.00,0.00,0.00,64.4,4.69,5.47,15.1,55.6,2.53,0.69,0.20,69.3,0.12,0.94,0.61,0.45,Matches
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,38.8,30.9,7.89,0.26,0.09,5.44,0.53,0.61,0.00,0.00,0.00,0.00,21.3,9.04,8.42,5.53,22.2,2.63,7.63,0.09,30.4,0.35,0.96,0.44,1.32,Matches
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,44.9,42.7,2.19,1.35,0.00,5.70,0.74,0.16,0.00,0.00,0.00,0.00,33.9,4.30,6.65,33.9,6.17,2.74,0.84,0.16,38.8,0.00,0.87,0.45,0.45,Matches
