Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,41.8,0.18,1.03,15.6,28.5,8.83,39.9,1.06,2.01,52.7,1.17,5,33.1,216.3,117.0,50.9,892,64.2,2.42,2.38,Matches
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,70.2,2.42,16.0,35.2,23.8,1.28,60.3,2.06,2.81,73.4,2.10,2,46.6,261.3,161.2,48.6,1194,87.4,1.35,1.35,Matches
25,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,55.8,1.05,7.37,40.5,11.1,1.05,54.7,0.26,0.53,50.0,0.53,0,41.1,200.5,109.2,43.9,150,89.8,0.53,0.53,Matches
26,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,31.1,2.22,7.22,16.7,7.78,1.67,31.1,0.00,2.22,0.0,0.00,0,13.9,54.4,20.6,25.0,34,75.6,1.67,0.56,Matches
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,55.4,0.84,10.1,38.4,11.9,1.76,54.6,0.59,1.09,53.8,0.59,0,40.4,246.6,145.5,41.3,454,92.3,1.34,1.09,Matches
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,47.8,1.11,5.56,17.8,25.6,1.11,38.9,0.00,1.11,0.0,0.00,0,24.4,122.2,63.3,22.2,17,85.0,0.00,0.00,Matches
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24.0,61.8,2.75,17.0,28.8,19.9,1.83,51.8,1.54,2.83,54.4,1.63,1,35.3,248.7,154.0,36.7,766,87.0,1.08,1.25,Matches
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,72.2,1.15,16.1,51.4,9.04,0.10,71.1,1.35,1.54,87.5,1.35,0,56.1,237.7,113.9,57.5,566,94.6,0.67,0.96,Matches
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,69.8,3.03,21.4,47.8,6.22,0.08,68.0,1.85,2.27,81.5,1.93,0,53.5,288.2,167.6,49.3,565,96.3,0.25,0.50,Matches
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,65.0,3.33,10.0,36.7,21.7,3.33,61.7,0.00,1.67,0.0,0.00,0,45.0,216.7,168.3,48.3,27,93.1,0.00,0.00,Matches
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,38.3,0.65,2.24,21.6,16.3,4.82,36.6,0.82,1.41,58.3,0.88,0,23.1,101.2,45.1,49.3,506,60.4,2.94,1.18,Matches
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,83.1,6.57,34.2,52.5,3.43,0.78,81.4,0.33,0.45,72.7,0.33,0,63.6,414.1,227.5,64.9,1579,99.2,0.33,0.29,Matches
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,50.4,3.77,16.9,25.4,12.2,1.32,42.5,1.14,1.58,72.2,1.14,0,28.0,212.7,132.0,26.1,268,89.9,0.79,0.70,Matches
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,56.6,9.45,35.5,20.6,3.75,1.16,54.6,0.08,0.16,50.0,0.08,0,33.3,176.1,90.0,35.4,1283,95.6,0.42,0.13,Matches
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,56.0,3.00,17.5,30.0,13.0,0.00,51.0,1.50,2.00,75.0,1.50,0,39.5,286.5,175.5,39.0,69,88.5,1.00,1.00,Matches
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,5.8,42.9,0.00,4.48,22.4,18.8,3.45,42.8,1.38,2.24,61.5,1.72,0,32.9,158.6,85.9,43.3,171,68.1,2.59,2.41,Matches
