Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
553,Marc Cucurella\Marc-Cucurella,es ESP,MFFW,Eibar,es La Liga,20,1998,26.2,61,2.33,56,0,1,2,2,7,0.27,6,0,1,0,0,0,Matches
554,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,es La Liga,34,1984,33.9,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
555,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,M'gladbach,de Bundesliga,18,1999,3.1,12,3.87,8,0,3,0,1,1,0.32,1,0,0,0,0,0,Matches
556,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,RB Leipzig,de Bundesliga,19,1999,9.5,32,3.38,21,0,7,3,1,4,0.42,1,0,2,0,1,0,Matches
557,Greg Cunningham\Greg-Cunningham,ie IRL,DF,Cardiff City,eng Premier League,27,1991,7.0,7,1.00,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
558,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Milan,it Serie A,20,1998,16.2,32,1.98,30,0,1,1,0,2,0.12,2,0,0,0,0,0,Matches
559,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,fr Ligue 1,23,1995,26.2,103,3.93,57,37,0,3,6,6,0.23,5,1,0,0,0,0,Matches
560,Marco D'Alessandro\Marco-DAlessandro,it ITA,DFMF,Udinese,it Serie A,27,1991,16.6,36,2.17,26,2,5,1,2,3,0.18,3,0,0,0,0,0,Matches
561,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,29,1988,28.7,57,1.99,51,3,1,0,2,11,0.38,8,0,1,0,2,0,Matches
562,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,30,1988,31.9,14,0.44,14,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
563,Kouadio-Yves Dabila\Kouadio-Yves-Dabila,ci CIV,DF,Lille,fr Ligue 1,21,1997,8.7,1,0.12,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
564,Abdoulaye Dabo\Abdoulaye-Dabo,fr FRA,FW,Nantes,fr Ligue 1,17,2001,1.3,5,3.88,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
565,Bryan Dabo\Bryan-Dabo,bf BFA,MFDF,Fiorentina,it Serie A,26,1992,9.2,22,2.38,20,0,0,2,0,2,0.22,2,0,0,0,0,0,Matches
566,Christoph Daferner\Christoph-Daferner,de GER,FW,Freiburg,de Bundesliga,20,1998,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
567,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,19,1998,10.2,21,2.06,18,3,0,0,0,3,0.29,3,0,0,0,0,0,Matches
568,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,de Bundesliga,22,1996,7.7,18,2.32,16,0,1,0,1,3,0.39,3,0,0,0,0,0,Matches
569,Leon Dajaku\Leon-Dajaku,de GER,MFFW,Stuttgart,de Bundesliga,17,2001,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
570,Felipe dal Belo\Felipe-dal-Belo,br BRA,DF,SPAL,it Serie A,34,1984,26.2,23,0.88,18,2,0,2,1,3,0.11,1,0,0,2,0,0,Matches
571,Nicola Dalmonte\Nicola-Dalmonte,it ITA,MFFW,Genoa,it Serie A,20,1997,0.5,5,10.23,0,2,0,2,1,0,0.00,0,0,0,0,0,0,Matches
572,Diogo Dalot\Diogo-Dalot,pt POR,DFMF,Manchester Utd,eng Premier League,19,1999,11.3,24,2.13,18,1,3,2,0,2,0.18,2,0,0,0,0,0,Matches
573,Matty Daly\Matty-Daly,eng ENG,MF,Huddersfield,eng Premier League,17,2001,0.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
574,Vitalie Damașcan\Vitalie-Damascan,md MDA,MF,Torino,it Serie A,19,1999,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
575,Loïc Damour\Loic-Damour,fr FRA,MF,Cardiff City,eng Premier League,27,1991,0.3,2,7.83,1,0,0,1,0,1,3.91,0,0,0,1,0,0,Matches
576,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,eng Premier League,31,1986,17.6,28,1.59,27,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
577,Danilo\Danilo,br BRA,DF,Manchester City,eng Premier League,27,1991,9.0,16,1.78,12,0,1,2,1,2,0.22,1,0,0,1,0,0,Matches
578,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,31,1987,7.4,4,0.54,1,0,0,3,0,1,0.14,0,0,0,1,0,0,Matches
579,Kevin Danso\Kevin-Danso,at AUT,DF,Augsburg,de Bundesliga,19,1998,13.9,4,0.29,4,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
580,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,34,1983,35.8,16,0.45,14,1,0,1,0,1,0.03,1,0,0,0,0,0,Matches
581,Palkó Dárdai\Palko-Dardai,de GER,MFFW,Hertha BSC,de Bundesliga,19,1999,1.3,2,1.59,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
582,Sergi Darder\Sergi-Darder,es ESP,MF,Espanyol,es La Liga,24,1993,30.1,84,2.79,55,9,9,6,4,7,0.23,5,0,0,1,0,1,Matches
583,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,27,1990,4.2,12,2.87,12,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
584,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,eng Premier League,28,1989,4.9,2,0.41,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
585,Alphonso Davies\Alphonso-Davies,ca CAN,FWMF,Bayern Munich,de Bundesliga,17,2000,0.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
586,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,eng Premier League,25,1993,20.5,31,1.51,25,3,0,2,1,2,0.10,2,0,0,0,0,0,Matches
587,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,20,1998,10.9,11,1.01,9,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
588,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,eng Premier League,33,1985,1.1,5,4.59,5,0,0,0,0,1,0.92,1,0,0,0,0,0,Matches
589,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,27,1991,10.8,64,5.91,44,10,4,1,4,7,0.65,4,1,0,0,1,1,Matches
590,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,it Serie A,31,1987,13.0,6,0.46,5,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
591,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Bologna,it Serie A,31,1987,5.5,4,0.73,3,1,0,0,0,1,0.18,1,0,0,0,0,0,Matches
592,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MFFW,Udinese,it Serie A,24,1994,35.4,161,4.54,107,35,10,4,5,14,0.40,7,5,1,1,0,0,Matches
593,Daniele De Rossi\Daniele-De-Rossi,it ITA,MF,Roma,it Serie A,35,1983,14.1,30,2.13,27,1,0,1,1,4,0.28,3,0,0,1,0,0,Matches
594,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,it Serie A,25,1992,19.4,32,1.65,26,0,2,2,2,3,0.15,2,0,0,0,1,0,Matches
595,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DFMF,Torino,it Serie A,30,1988,26.8,51,1.90,47,2,1,1,0,5,0.19,4,0,1,0,0,0,Matches
596,Lucas Deaux\Lucas-Deaux,fr FRA,MF,Guingamp,fr Ligue 1,29,1988,13.2,15,1.14,15,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
597,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,33,1985,21.6,37,1.72,28,3,2,2,2,4,0.19,3,1,0,0,0,0,Matches
598,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,eng Premier League,30,1988,28.3,62,2.19,53,0,1,5,3,8,0.28,7,0,0,1,0,0,Matches
599,Jermain Defoe\Jermain-Defoe,eng ENG,DFFW,Bournemouth,eng Premier League,35,1982,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
600,Steven Defour\Steven-Defour,be BEL,MF,Burnley,eng Premier League,30,1988,5.0,3,0.60,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
601,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sampdoria,it Serie A,27,1991,26.0,71,2.73,56,1,6,3,5,10,0.38,7,0,2,0,1,0,Matches
602,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Parma,it Serie A,22,1995,6.1,7,1.16,4,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
603,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,22,1995,5.0,7,1.40,5,0,0,2,0,1,0.20,1,0,0,0,0,0,Matches
604,Romain Del Castillo\Romain-Del-Castillo,fr FRA,FWMF,Rennes,fr Ligue 1,22,1996,14.9,54,3.62,32,4,10,4,3,8,0.54,4,1,1,1,0,1,Matches
605,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,26,1991,25.4,34,1.34,28,0,1,4,1,9,0.35,6,0,0,3,0,0,Matches
606,Moisés Delgado\Moises-Delgado,es ESP,DF,Valladolid,es La Liga,24,1994,3.0,5,1.67,4,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
607,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Empoli,it Serie A,24,1994,11.5,3,0.26,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
608,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Sassuolo,it Serie A,24,1994,1.2,2,1.64,2,0,0,0,0,1,0.82,1,0,0,0,0,0,Matches
609,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,26,1991,34.6,103,2.98,77,6,12,5,3,8,0.23,8,0,0,0,0,0,Matches
610,Fabian Delph\Fabian-Delph,eng ENG,DF,Manchester City,eng Premier League,28,1989,8.1,13,1.61,13,0,0,0,0,2,0.25,2,0,0,0,0,0,Matches
611,Mousa Dembélé\Mousa-Dembele,be BEL,MF,Tottenham,eng Premier League,31,1987,5.7,5,0.87,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
612,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,22,1996,22.4,61,2.72,41,0,7,3,10,8,0.36,6,0,1,0,1,0,Matches
613,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWMF,Barcelona,es La Liga,21,1997,18.5,86,4.66,61,9,10,3,3,13,0.70,9,3,1,0,0,0,Matches
614,Jessy Deminguet\Jessy-Deminguet,fr FRA,MFFW,Caen,fr Ligue 1,20,1998,14.1,14,0.99,11,2,1,0,0,3,0.21,3,0,0,0,0,0,Matches
615,Merih Demiral\Merih-Demiral,tr TUR,DF,Sassuolo,it Serie A,20,1998,14.0,3,0.21,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
616,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Hoffenheim,de Bundesliga,25,1993,22.4,131,5.85,79,40,7,4,1,12,0.54,7,3,1,1,0,0,Matches
617,Diego Demme\Diego-Demme,de GER,MF,RB Leipzig,de Bundesliga,26,1991,22.8,57,2.50,49,7,0,0,1,2,0.09,2,0,0,0,0,0,Matches
618,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,23,1995,30.6,12,0.39,9,0,0,3,0,1,0.03,1,0,0,0,0,0,Matches
619,Leander Dendoncker\Leander-Dendoncker,be BEL,MF,Wolves,eng Premier League,23,1995,16.3,23,1.41,19,0,1,2,1,2,0.12,2,0,0,0,0,0,Matches
620,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Chievo,it Serie A,21,1997,27.4,51,1.86,43,4,0,3,1,4,0.15,4,0,0,0,0,0,Matches
621,Memphis Depay\Memphis-Depay,nl NED,FWMF,Lyon,fr Ligue 1,24,1994,30.4,214,7.04,122,56,13,14,9,13,0.43,9,1,1,2,0,0,Matches
622,Laurent Depoitre\Laurent-Depoitre,be BEL,FW,Huddersfield,eng Premier League,29,1988,11.9,17,1.43,14,0,0,1,2,1,0.08,1,0,0,0,0,0,Matches
623,Clément Depres\Clement-Depres,fr FRA,FW,Nîmes,fr Ligue 1,23,1994,4.9,14,2.86,11,0,0,3,0,3,0.61,1,0,0,2,0,0,Matches
624,Kiril Despodov\Kiril-Despodov,bg BUL,FWMF,Cagliari,it Serie A,21,1996,1.2,1,0.86,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
625,Daniele Dessena\Daniele-Dessena,it ITA,MF,Cagliari,it Serie A,31,1987,3.9,4,1.02,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
626,Mattia Destro\Mattia-Destro,it ITA,FWMF,Bologna,it Serie A,27,1991,5.5,4,0.73,3,0,0,1,0,1,0.18,1,0,0,0,0,0,Matches
627,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,eng Premier League,24,1994,23.0,80,3.48,61,2,14,1,2,16,0.70,7,2,7,0,0,0,Matches
628,Jacopo Dezi\Jacopo-Dezi,it ITA,MF,Parma,it Serie A,26,1992,1.0,1,1.00,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
629,Federico Di Francesco\Federico-Di-Francesco,it ITA,FWMF,Sassuolo,it Serie A,24,1994,11.9,26,2.18,21,1,0,0,4,6,0.50,5,0,0,0,1,0,Matches
630,Antonio Di Gaudio\Antonio-Di-Gaudio,it ITA,FWMF,Parma,it Serie A,28,1989,7.8,11,1.42,6,0,3,0,2,2,0.26,1,0,0,0,1,0,Matches
631,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Empoli,it Serie A,24,1993,37.0,67,1.81,56,4,4,3,0,11,0.30,8,0,2,1,0,0,Matches
632,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,fr Ligue 1,30,1988,25.8,109,4.22,71,15,14,6,3,23,0.89,14,3,3,2,1,0,Matches
633,Franco Di Santo\Franco-Di-Santo,ar ARG,FW,Rayo Vallecano,es La Liga,29,1989,1.9,1,0.52,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
634,Franco Di Santo\Franco-Di-Santo,ar ARG,FWMF,Schalke 04,de Bundesliga,29,1989,2.7,7,2.57,6,0,0,0,1,1,0.37,1,0,0,0,0,0,Matches
635,Boulaye Dia\Boulaye-Dia,fr FRA,FW,Reims,fr Ligue 1,21,1996,8.3,26,3.13,12,0,8,3,3,3,0.36,0,0,1,1,1,0,Matches
636,Fousseni Diabaté\Fousseni-Diabate,ml MLI,FW,Leicester City,eng Premier League,22,1995,0.6,2,3.33,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
637,Moussa Diaby\Moussa-Diaby,fr FRA,MFFW,Paris S-G,fr Ligue 1,19,1999,12.7,35,2.76,25,1,9,0,0,10,0.79,7,0,3,0,0,0,Matches
638,Adama Diakhaby\Adama-Diakhaby,fr FRA,FWMF,Huddersfield,eng Premier League,22,1996,6.1,11,1.79,7,0,1,1,1,1,0.16,0,0,0,0,0,1,Matches
639,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,21,1996,17.6,7,0.40,5,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
640,Bafodé Diakité\Bafode-Diakite,fr FRA,DF,Toulouse,fr Ligue 1,17,2001,7.0,8,1.14,5,1,1,1,0,1,0.14,0,1,0,0,0,0,Matches
641,Abdou Diallo\Abdou-Diallo,fr FRA,DF,Dortmund,de Bundesliga,22,1996,26.4,15,0.57,13,0,0,1,1,2,0.08,1,0,0,1,0,0,Matches
642,Abdoulaye Diallo\Abdoulaye-Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,5.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
643,Mustapha Diallo\Mustapha-Diallo,sn SEN,MF,Nîmes,fr Ligue 1,32,1986,5.1,2,0.40,2,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches
644,Mohamed Diamé\Mohamed-Diame,sn SEN,MF,Newcastle Utd,eng Premier League,31,1987,24.1,22,0.91,11,0,6,2,3,0,0.00,0,0,0,0,0,0,Matches
645,Grady Diangana\Grady-Diangana,eng ENG,FWMF,West Ham,eng Premier League,20,1998,6.8,25,3.69,19,2,1,1,2,2,0.30,1,0,0,0,1,0,Matches
646,Lassana Diarra\Lassana-Diarra,fr FRA,MF,Paris S-G,fr Ligue 1,33,1985,1.8,2,1.13,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
647,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Napoli,it Serie A,21,1997,7.3,20,2.72,17,0,2,1,0,1,0.14,1,0,0,0,0,0,Matches
648,Brahim Díaz\Brahim-Diaz,es ESP,FW,Real Madrid,es La Liga,18,1999,4.2,20,4.79,10,0,7,0,3,3,0.72,1,0,2,0,0,0,Matches
649,Javier Díaz\Javier-Diaz,es ESP,GK,Sevilla,es La Liga,21,1997,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
650,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,fr Ligue 1,28,1989,32.7,13,0.40,13,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
651,Lorenzo Dickmann\Lorenzo-Dickmann,it ITA,DFMF,SPAL,it Serie A,21,1996,1.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
652,Daniel Didavi\Daniel-Didavi,de GER,MFFW,Stuttgart,de Bundesliga,28,1990,10.6,57,5.37,31,14,4,2,6,5,0.47,3,0,2,0,0,0,Matches
653,Étienne Didot\Etienne-Didot,fr FRA,MF,Guingamp,fr Ligue 1,35,1983,23.4,44,1.88,32,7,0,0,5,3,0.13,3,0,0,0,0,0,Matches
654,Adrián Diéguez\Adrian-Dieguez,es ESP,DF,Huesca,es La Liga,22,1996,8.3,3,0.36,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
655,Eric Dier\Eric-Dier,eng ENG,MF,Tottenham,eng Premier League,24,1994,16.7,19,1.14,18,0,0,0,1,2,0.12,2,0,0,0,0,0,Matches
656,Tim Dierßen\Tim-Dierssen,de GER,FW,Hannover 96,de Bundesliga,22,1996,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
657,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,eng Premier League,25,1993,32.9,100,3.04,56,37,3,4,0,8,0.24,5,1,1,1,0,0,Matches
658,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,27,1991,37.6,28,0.74,24,0,1,3,0,7,0.19,5,0,0,2,0,0,Matches
659,Mitchell Dijks\Mitchell-Dijks,nl NED,DFMF,Bologna,it Serie A,25,1993,22.5,33,1.47,24,6,2,0,1,2,0.09,0,1,0,0,1,0,Matches
660,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,20,1998,10.0,32,3.21,22,0,5,1,4,6,0.60,5,0,1,0,0,0,Matches
661,Federico Dimarco\Federico-Dimarco,it ITA,DF,Parma,it Serie A,20,1997,9.9,13,1.31,8,3,1,0,1,2,0.20,0,0,1,0,1,0,Matches
662,Stole Dimitrievski\Stole-Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21.0,1,0.05,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
663,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,27,1991,14.9,38,2.54,37,1,0,0,0,5,0.33,5,0,0,0,0,0,Matches
664,Ismaël Diomandé\Ismael-Diomande,ci CIV,MFDF,Caen,fr Ligue 1,25,1992,14.4,9,0.63,9,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
665,Federico Dionisi\Federico-Dionisi,it ITA,FW,Frosinone,it Serie A,31,1987,2.3,6,2.65,6,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
666,Lois Diony\Lois-Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,25,1992,17.7,38,2.15,27,1,1,2,6,4,0.23,2,0,1,0,0,1,Matches
667,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,21,1997,33.0,7,0.21,6,0,1,0,0,2,0.06,2,0,0,0,0,0,Matches
668,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,32,1986,26.1,45,1.72,35,0,3,2,5,1,0.04,0,0,0,1,0,0,Matches
669,Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,fr Ligue 1,18,2000,8.2,17,2.06,9,1,4,2,1,0,0.00,0,0,0,0,0,0,Matches
670,Assane Dioussé\Assane-Diousse,sn SEN,MF,Chievo,it Serie A,20,1997,9.9,12,1.21,9,1,1,1,0,1,0.10,1,0,0,0,0,0,Matches
671,Assane Dioussé\Assane-Diousse,sn SEN,MF,Saint-Étienne,fr Ligue 1,20,1997,2.4,2,0.83,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
672,Axel Disasi\Axel-Disasi,fr FRA,DF,Reims,fr Ligue 1,20,1998,1.8,1,0.57,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
673,Djené\Djene,tg TOG,DF,Getafe,es La Liga,26,1991,33.1,19,0.57,11,2,3,0,3,4,0.12,1,0,1,0,2,0,Matches
674,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Torino,it Serie A,25,1992,15.4,3,0.19,3,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
675,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Nantes,fr Ligue 1,25,1992,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
676,Alexander Djiku\Alexander-Djiku,fr FRA,DF,Caen,fr Ligue 1,23,1994,30.6,16,0.52,13,0,0,1,2,2,0.07,2,0,0,0,0,0,Matches
677,Papy Djilobodji\Papy-Djilobodji,sn SEN,DFFW,Guingamp,fr Ligue 1,29,1988,1.9,2,1.03,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
678,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,25,1993,20.1,9,0.45,8,0,1,0,0,4,0.20,3,0,1,0,0,0,Matches
679,Johan Djourou\Johan-Djourou,ch SUI,DF,SPAL,it Serie A,31,1987,3.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
680,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,26,1992,24.0,2,0.08,1,1,0,0,0,1,0.04,1,0,0,0,0,0,Matches
681,Matt Doherty\Matt-Doherty,ie IRL,DFMF,Wolves,eng Premier League,26,1992,34.9,86,2.46,65,5,5,6,5,12,0.34,8,0,2,0,2,0,Matches
682,Keagan Dolly\Keagan-Dolly,za RSA,FW,Montpellier,fr Ligue 1,25,1993,1.0,3,3.07,0,3,0,0,0,1,1.02,0,1,0,0,0,0,Matches
683,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,27,1990,4.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
684,Giulio Donati\Giulio-Donati,it ITA,DF,Mainz 05,de Bundesliga,28,1990,6.9,14,2.02,13,1,0,0,0,1,0.14,1,0,0,0,0,0,Matches
685,Ji Dong-won\Ji-Dong-won,kr KOR,FWMF,Augsburg,de Bundesliga,27,1991,9.9,26,2.63,19,0,3,2,2,2,0.20,1,0,0,1,0,0,Matches
686,Anastasios Donis\Anastasios-Donis,gr GRE,FWMF,Stuttgart,de Bundesliga,21,1996,10.7,16,1.50,10,0,4,2,0,3,0.28,2,0,1,0,0,0,Matches
687,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,19,1999,34.3,4,0.12,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
688,Godfred Donsah\Godfred-Donsah,gh GHA,MF,Bologna,it Serie A,22,1996,1.7,2,1.18,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
689,Riccardo Doratiotto\Riccardo-Doratiotto,it ITA,FW,Cagliari,it Serie A,19,1999,0.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
690,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Lille,fr Ligue 1,20,1997,11.8,10,0.84,8,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
691,Mathieu Dossevi\Mathieu-Dossevi,tg TOG,FWMF,Toulouse,fr Ligue 1,30,1988,27.4,85,3.10,54,20,7,0,4,6,0.22,3,1,2,0,0,0,Matches
692,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,eng Premier League,25,1993,34.0,70,2.06,61,1,4,4,0,8,0.24,5,1,0,2,0,0,Matches
693,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,es La Liga,25,1992,3.5,1,0.28,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
694,Moussa Doumbia\Moussa-Doumbia,ml MLI,FWMF,Reims,fr Ligue 1,23,1994,17.8,57,3.21,38,0,8,1,10,9,0.51,5,0,2,0,2,0,Matches
695,Seydou Doumbia\Seydou-Doumbia,ci CIV,FW,Girona,es La Liga,30,1987,6.0,5,0.83,2,0,0,2,1,2,0.33,1,0,0,1,0,0,Matches
696,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Rennes,fr Ligue 1,21,1996,6.7,1,0.15,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
697,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leverkusen,de Bundesliga,27,1991,14.8,9,0.61,7,0,0,1,1,2,0.13,2,0,0,0,0,0,Matches
698,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,20,1997,2.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
699,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Empoli,it Serie A,20,1997,14.0,2,0.14,1,0,0,0,0,2,0.14,1,0,0,0,0,1,Matches
700,Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,24,1993,22.7,87,3.83,64,9,9,3,1,15,0.66,12,1,1,0,0,1,Matches
701,Luke Dreher\Luke-Dreher,eng ENG,MF,Crystal Palace,eng Premier League,19,1998,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
702,Josip Drmić\Josip-Drmic,ch SUI,FW,M'gladbach,de Bundesliga,25,1992,2.5,4,1.62,4,0,0,0,0,2,0.81,2,0,0,0,0,0,Matches
703,Jaroslav Drobný\Jaroslav-Drobny,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
704,Óscar Duarte\Oscar-Duarte,cr CRC,DFMF,Espanyol,es La Liga,29,1989,7.3,4,0.55,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
